,ORCL,SQ,NVDA,BABA,PFE,NFLX,CRM,GD,AMT,HD,FB,MSFT,WMT,VZ,MCD,SBUX,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,NEE
2015-10-01,,,,,,,,,,,,,,42.96,116.07,57.48,115.38,144.56,77.93,295.92,68.59,93.17,116.61,140.8,98.58,98.44,90.13,96.55
2015-10-02,,,,,,,,,89.74,117.81,92.07,45.57,64.98,42.84,114.76,58.08,116.93,145.86,79.48,303.36,68.74,93.93,118.83,143.2,99.38,99.39,92.66,98.54
2015-10-05,,,,63.93,27.822315000000003,111.25,75.269997,129.018661,93.46,119.2,94.01,46.63,65.87,44.0,115.91,59.04,118.38,148.07,81.82,313.61,70.75,94.76,119.65,146.32,101.53,101.62,94.59,100.72
2015-10-06,,,,63.919998,27.248917,108.330002,74.41999799999998,125.921211,93.37,118.68,92.8,46.75,65.68,44.06,114.45,58.69,118.35,148.41,82.58,312.73,70.63,93.42,116.05,145.79,101.43,101.5,93.4,99.85
2015-10-07,,,,66.279999,27.664425,108.099998,75.0,126.272095,94.24,119.65,92.4,46.8,66.36,43.85,115.25,58.78,119.0,147.96,83.24,320.64,71.98,94.98,116.43,147.54,102.24,102.62,94.31,99.93
2015-10-08,,,,67.699997,27.498219,114.93,75.089996,127.666481,95.57,121.06,92.47,47.45,66.88,44.23,112.56,59.46,120.18,151.66,84.58,318.57,72.04,95.08,116.08,149.48,103.38,105.01,95.77,100.85
2015-10-09,,,,68.709999,27.622873,113.330002,75.25,128.395203,94.94,121.33,93.24,47.11,66.69,44.16,113.07,60.07,120.52,153.97,83.52,318.11,71.5,95.37,119.27,149.9,103.68,104.78,95.97,101.05
2015-10-12,,,,70.300003,27.606255,113.449997,75.879997,129.267853,94.8,121.9,94.26,47.0,66.93,44.3,116.1,60.54,120.75,153.63,83.87,315.66,70.24,95.99,122.51,150.06,104.41,105.05,97.34,101.45
2015-10-13,,,,69.68,27.406809000000006,109.730003,76.629997,127.486572,93.7,121.61,94.12,46.89,66.73,44.36,114.82,60.16,120.55,152.28,82.16,315.12,69.15,95.45,123.99,149.11,103.3,103.48,97.18,101.24
2015-10-14,,,,68.540001,27.456671000000004,110.230003,75.58000200000002,125.498367,93.06,120.27,94.07,46.68,60.03,43.99,116.5,58.82,120.25,149.84,82.47,322.47,68.98,94.53,122.07,148.32,102.86,102.43,97.32,100.93
2015-10-15,,,,71.779999,28.320927,101.089996,77.699997,127.108765,94.65,121.81,95.96,47.01,59.33,44.67,115.58,59.69,120.18,151.77,83.49,325.63,70.2,97.15,120.17,149.19,103.8,102.3,99.26,103.2
2015-10-16,,,,71.989998,28.595156,98.989998,78.769997,127.477577,96.13,122.74,97.54,47.51,58.89,44.7,116.08,59.93,121.92,152.06,84.12,330.83,70.8,98.24,119.98,148.7,103.95,103.01,100.74,103.66
2015-10-19,,,,72.650002,28.66995,101.690002,77.93,127.072762,96.79,123.1,98.47,47.62,58.85,44.7,115.16,60.97,121.72,153.22,81.62,327.88,70.26,97.94,120.73,148.0,104.26,103.1,101.18,103.77
2015-10-20,,,,71.790001,28.254442,98.989998,77.529999,127.072762,96.91,122.85,97.0,47.77,58.75,45.24,117.49,60.88,122.08,154.56,81.6,327.15,70.55,97.59,120.42,149.11,104.56,103.47,101.38,103.94
2015-10-21,,,,69.480003,27.805698,97.959999,75.83000200000002,128.728073,96.06,123.3,97.11,47.2,58.64,44.86,116.07,60.53,122.06,155.21,80.5,321.98,69.64,97.63,118.11,149.82,105.26,102.52,100.64,104.2
2015-10-22,,,,70.989998,27.697664000000003,97.32,77.370003,132.470505,99.47,124.36,99.67,48.03,58.9,45.89,116.15,61.49,123.6,158.15,82.61,335.35,74.25,99.53,113.81,156.0,106.43,106.46,103.62,105.71
2015-10-23,,,,75.620003,28.295992,100.040001,78.559998,133.397171,99.17,124.61,102.19,52.87,58.3,46.16,113.68,62.61,123.25,155.74,83.35,340.79,74.39,100.31,115.92,155.79,106.8,107.99,103.99,104.56
2015-10-26,,,,76.349998,28.3874,103.040001,78.220001,133.280167,99.53,125.01,103.77,54.25,58.02,46.36,112.37,63.43,122.04,156.73,83.0,337.02,74.19,99.94,116.53,156.54,106.18,107.97,103.93,103.85
2015-10-27,,,,79.440002,29.077148,103.07,77.75,133.505096,99.27,124.47,103.7,53.69,57.48,46.17,113.86,62.71,121.89,157.76,83.56,335.57,73.95,100.19,119.37,156.73,103.1,107.87,102.93,104.1
2015-10-28,,,,82.349998,29.459412,105.800003,78.529999,135.646194,100.87,123.82,104.2,53.98,57.64,46.48,114.63,63.51,122.63,157.76,84.89,346.32,75.24,100.48,119.78,158.08,102.63,109.73,104.33,102.95
2015-10-29,,,,82.220001,28.894325,105.120003,78.139999,134.917526,101.96,123.63,104.88,53.36,57.96,46.4,113.61,62.5,122.72,158.28,86.43,349.86,75.38,101.37,119.71,157.61,103.47,107.95,104.28,101.78
2015-10-30,,,,83.83000200000002,28.104862,108.379997,77.709999,133.667053,102.23,123.64,101.97,52.64,57.24,46.88,113.13,62.57,121.94,158.12,89.05,351.97,75.62,101.03,117.78,157.21,103.02,107.2,104.26,102.66
2015-11-02,,,,84.349998,29.135317,107.639999,79.199997,133.792969,104.06,124.41,103.31,53.24,57.61,46.78,114.54,62.24,125.7,159.15,90.6,354.57,76.19,102.17,118.69,159.92,104.57,107.6,104.0,102.23
2015-11-03,,,,83.440002,29.06053,109.739998,78.629997,132.398544,103.28,125.66,102.58,54.15,58.11,46.45,114.95,62.8,124.63,158.8,92.67,358.47,76.68,101.96,117.66,158.75,104.48,107.31,104.19,102.31
2015-11-04,,,,85.400002,28.599777000000003,114.050003,78.389999,132.497498,102.23,125.38,103.94,54.4,58.37,46.14,114.3,61.96,124.2,157.15,93.33,356.49,76.19,101.94,114.64,158.91,104.0,106.52,103.86,103.22
2015-11-05,,,,85.379997,28.60816,113.5,78.709999,132.308594,100.87,125.72,108.76,54.38,58.61,46.2,115.59,62.28,124.22,156.27,93.68,357.3,76.67,102.33,116.23,158.99,104.23,106.09,103.21,102.1
2015-11-06,,,,83.610001,28.423853,114.059998,79.410004,131.274033,98.03,125.98,107.1,54.92,58.78,45.78,114.57,61.97,122.28,157.55,92.75,356.7,76.93,101.92,114.81,159.26,104.99,106.0,103.0,98.84
2015-11-09,,,,81.379997,28.189297,109.860001,78.220001,129.807587,97.11,124.5,106.49,54.16,58.49,45.3,115.24,61.34,121.88,155.16,92.01,349.57,75.53,100.84,114.26,157.47,104.01,104.88,101.73,98.91
2015-11-10,,,,81.43,28.306578,112.699997,78.25,129.492783,97.13,125.26,107.91,53.51,58.68,45.1,114.44,62.18,122.28,156.41,92.1,350.27,76.16,101.45,115.89,157.59,104.34,105.07,101.12,99.0
2015-11-11,,,,79.849998,28.264694,112.860001,78.709999,128.92598,97.62,124.71,109.01,53.65,57.58,45.32,114.05,61.87,123.42,156.39,90.59,350.5,76.38,101.86,114.54,159.05,104.8,105.1,101.61,99.72
2015-11-12,,,,78.760002,27.971487,108.919998,78.300003,127.612549,97.35,123.81,108.02,53.32,56.95,44.83,113.45,61.07,121.83,156.0,89.24,345.74,75.25,100.27,112.82,156.3,102.6,104.32,99.21,100.73
2015-11-13,,,,75.849998,27.870966,103.650002,75.599998,126.487976,96.38,120.0,103.95,52.84,56.42,44.23,113.37,59.74,120.74,153.67,89.08,343.25,74.36,99.88,111.41,155.65,101.78,103.15,100.83,100.43
2015-11-16,,,,78.300003,27.778812,111.349998,76.260002,128.898956,98.05,120.84,104.04,53.77,57.87,45.04,112.1,60.68,121.87,156.45,91.07,352.33,75.34,101.22,113.82,158.21,103.14,106.33,101.95,102.12
2015-11-17,,,,78.129997,27.535873,117.099998,77.239998,128.530151,98.35,126.18,105.13,52.97,59.92,45.08,112.86,60.55,121.78,158.89,91.12,353.42,74.74,101.5,114.39,157.03,103.14,106.29,101.71,100.75
2015-11-18,,,,77.690002,27.904472,120.629997,77.349998,129.285843,99.66,126.54,107.77,53.85,60.93,45.38,113.17,61.8,123.59,161.25,92.54,360.63,76.49,102.67,117.25,157.39,103.68,107.88,104.23,99.7
2015-11-19,36.108596999999996,13.07,30.458263,77.870003,27.049994,120.220001,80.639999,130.626297,99.63,126.86,106.26,53.94,60.7,45.76,112.99,61.46,124.32,162.83,92.38,359.09,76.38,102.49,110.63,158.38,104.1,107.28,103.37,100.99
2015-11-20,36.40472800000001,12.85,30.722525,79.949997,26.957846000000004,123.839996,80.989998,130.896194,100.49,130.21,107.32,54.19,60.07,45.39,113.96,61.99,123.85,163.1,91.67,362.46,76.37,102.48,112.97,158.95,104.1,107.97,104.62,101.02
2015-11-23,36.219639,12.12,30.262524,81.309998,26.245783000000007,125.029999,80.779999,130.07753,99.94,132.5,106.95,54.19,60.26,44.99,113.7,62.64,125.36,163.45,92.17,363.25,76.15,102.77,112.16,158.65,103.59,107.84,105.47,100.49
2015-11-24,36.51577,12.02,30.507206,80.860001,26.781923,123.309998,80.389999,130.923172,99.26,133.6,105.74,54.25,59.92,45.19,111.39,61.96,124.79,162.19,93.13,356.81,75.62,102.04,113.19,157.75,103.4,107.35,105.49,99.41
2015-11-25,36.3307,11.9,30.468054,81.709999,27.535873,124.160004,80.410004,130.608292,99.09,134.65,105.41,53.69,60.24,44.92,110.58,62.19,125.31,162.39,92.77,360.62,76.01,101.96,114.41,157.63,103.49,107.1,106.46,98.88
2015-11-27,36.256664,12.05,30.722525,81.379997,27.468855,125.440002,79.970001,130.950119,99.68,134.74,105.45,53.93,59.89,45.23,108.71,62.18,125.51,163.58,92.76,358.39,75.95,102.37,114.34,157.99,104.18,107.46,106.21,99.37
2015-11-30,36.062332,12.04,31.04550900000001,84.08000200000002,27.452099,123.330002,79.690002,131.759842,99.38,133.88,104.24,54.35,58.84,45.45,106.98,61.39,124.3,161.42,91.53,363.72,76.15,101.24,112.71,156.58,103.01,107.22,105.74,99.86
2015-12-01,36.302937,11.91,32.053604,84.0,28.16416,125.370003,81.010002,132.78538500000002,101.17,134.43,107.12,55.22,58.99,45.58,109.55,61.37,126.64,161.29,92.67,361.73,76.49,102.36,116.26,156.9,104.38,108.13,106.76,100.57
2015-12-02,35.812477,11.93,31.808926,85.0,27.561005,128.929993,80.879997,130.76123,99.46,133.81,106.07,55.21,58.35,44.92,110.06,61.22,126.35,161.09,90.44,358.92,75.54,102.05,117.64,155.7,103.3,107.59,105.34,97.99
2015-12-03,34.98888400000001,11.92,31.740406,82.589996,27.133766,126.809998,79.93,127.711502,97.89,130.93,104.38,54.2,59.04,44.56,108.06,59.55,126.05,163.67,88.57,352.0,75.17,100.79,115.0,154.38,102.29,105.93,104.3,96.42
2015-12-04,36.238152,12.04,33.032340999999995,84.849998,27.477236,130.929993,82.139999,129.402771,97.55,134.53,106.18,55.91,59.66,45.71,108.31,61.75,128.78,166.8,90.2,360.76,76.03,102.95,117.74,158.22,103.26,109.1,105.96,98.14
2015-12-07,35.923522999999996,12.36,32.405949,84.760002,27.359953000000004,125.360001,80.68,128.728073,97.69,133.93,105.61,55.81,60.5,46.06,110.04,61.89,129.33,167.12,86.69,355.47,75.16,103.32,115.91,157.75,102.45,108.94,104.99,98.57
2015-12-08,35.840237,12.12,32.846375,84.379997,27.251047,126.980003,81.08000200000002,127.747475,96.88,133.84,106.49,55.79,59.61,45.7,112.47,62.16,129.72,168.87,86.45,348.94,74.11,102.42,115.88,156.79,101.16,108.91,102.75,99.34
2015-12-09,35.701431,11.99,32.014458000000005,83.41999799999998,27.049994,124.199997,79.709999,126.101151,95.54,131.9,104.6,54.98,59.13,45.36,111.9,61.18,127.73,159.72,86.09,344.57,73.17,102.15,115.05,156.05,100.46,107.29,101.55,98.76
2015-12-10,35.34053,12.05,32.278713,84.33000200000002,27.108635,122.910004,79.379997,125.948235,95.07,132.54,105.42,55.27,59.56,45.32,112.52,61.87,126.87,161.86,86.75,345.25,73.34,102.64,116.21,157.52,100.45,107.6,100.88,97.6
2015-12-11,34.433651,11.95,31.799136999999998,79.739998,26.857319,118.910004,76.870003,124.619186,93.68,130.44,102.12,54.06,59.36,44.82,111.19,59.82,125.92,160.02,82.78,322.78,70.8,101.68,115.98,154.83,97.46,105.3,98.73,97.41
2015-12-14,34.840816,12.33,31.877434,80.57,26.957846000000004,120.669998,76.989998,125.839722,94.04,132.01,104.66,55.14,60.39,45.45,111.94,59.92,126.47,161.84,81.4,319.6,70.04,102.15,115.85,157.63,97.87,106.36,97.73,97.98
2015-12-15,35.359039,12.47,32.268932,82.489998,27.024864,118.599998,77.370003,124.800041,95.61,131.29,104.55,55.2,59.64,45.55,113.35,59.98,129.14,161.29,81.78,329.54,71.37,104.13,117.61,148.13,98.9,106.72,98.55,98.72
2015-12-16,36.006813,12.27,32.464672,84.629997,27.292933,122.639999,78.889999,126.246582,97.5,132.9,106.79,56.13,60.3,46.51,114.33,60.35,131.12,162.76,83.06,331.0,72.13,105.25,118.83,149.95,100.51,109.08,100.22,103.65
2015-12-17,34.174541,12.32,31.975306,83.559998,27.083508,122.510002,78.43,124.908516,96.09,131.35,106.22,55.7,58.98,46.1,112.34,59.52,131.34,160.68,81.78,330.21,71.01,103.64,119.22,148.85,100.0,103.26,98.24,103.41
2015-12-18,33.637814,12.34,31.456578999999998,82.650002,26.798679,118.019997,77.029999,123.59761,94.6,130.29,104.04,54.13,58.85,45.56,112.1,58.62,127.05,157.7,80.56,321.47,69.91,101.95,115.82,146.92,98.0,101.93,96.29,102.11
2015-12-21,33.702595,12.24,32.20042,82.870003,27.19241,116.629997,77.290001,124.8452,95.56,131.31,104.77,54.83,59.55,45.9,112.01,59.54,127.65,159.39,80.62,325.55,70.39,101.58,117.41,147.48,96.89,102.99,97.23,102.3
2015-12-22,33.859905,12.46,32.229778,84.839996,27.242672,116.239998,77.860001,126.51781499999998,96.42,131.88,105.51,55.35,60.54,46.34,112.16,59.99,127.59,161.23,81.7,330.51,70.91,102.71,117.44,148.97,98.0,103.76,98.76,102.91
2015-12-23,34.174541,12.5,32.357021,84.800003,27.276178,118.160004,78.040001,126.472595,98.5,133.11,104.63,55.82,61.09,46.95,110.93,60.34,128.18,161.71,84.8,339.64,72.75,103.49,118.69,151.16,97.24,104.42,100.24,103.98
2015-12-24,34.248569,12.6,32.464672,83.709999,27.326445,117.330002,77.83000200000002,126.427406,98.14,132.9,105.02,55.67,60.83,46.71,112.16,60.32,127.86,161.75,84.36,337.4,72.45,103.72,118.34,151.19,97.34,104.23,100.39,103.93
2015-12-28,34.044987,12.83,32.435318,82.139999,27.158899,117.110001,78.199997,126.201347,98.37,132.68,105.93,55.95,60.75,46.75,112.19,60.19,128.06,161.16,82.46,342.45,72.72,103.22,118.33,151.22,97.0,104.08,99.9,103.99
2015-12-29,34.276337,12.74,32.963833,83.260002,27.502361,119.120003,79.440002,126.879402,99.41,133.7,107.26,56.55,61.61,47.21,111.42,61.13,129.01,162.66,82.77,343.6,73.1,104.03,119.82,152.89,97.72,105.32,100.58,104.65
2015-12-30,34.165290999999996,12.78,32.68,81.68,27.435347,116.709999,79.139999,125.903008,98.1,133.35,106.22,56.31,61.68,46.77,111.67,60.82,128.2,162.71,82.01,342.05,72.09,103.78,118.92,151.91,97.09,105.86,99.77,104.91
2015-12-31,33.804390000000005,13.09,32.259144,81.269997,27.041618,114.379997,78.400002,124.185242,96.95,132.25,104.66,55.48,61.3,46.22,111.59,60.03,126.83,161.5,81.8,340.52,71.49,102.72,117.64,150.64,96.23,104.5,98.82,103.89
2016-01-04,33.218990000000005,12.16,31.681690000000003,76.690002,26.765175,109.959999,76.709999,123.018959,96.7,131.07,102.22,54.8,61.46,45.87,113.16,58.26,125.28,159.54,80.08,333.1,70.19,100.48,116.46,146.82,94.84,101.83,97.96,103.57
2016-01-05,33.116779,11.51,32.190632,78.629997,26.957846000000004,107.660004,77.050003,123.534309,98.61,130.43,102.73,55.05,62.92,46.5,111.46,58.65,127.09,159.93,81.0,333.96,70.48,100.9,116.68,147.46,95.78,102.36,98.31,104.58
2016-01-06,33.284031,11.52,30.859546999999996,77.33000200000002,26.480349,117.68,76.290001,122.286659,98.26,129.08,102.97,54.05,63.55,45.52,110.37,58.13,127.03,158.45,78.03,330.16,68.9,100.39,115.49,144.49,94.42,102.16,96.47,104.24
2016-01-07,32.559261,11.16,29.636131,72.720001,26.30442,114.559998,74.300003,118.254433,95.81,125.4,97.92,52.17,65.03,45.27,109.93,56.69,125.64,154.82,76.45,315.73,67.06,99.22,112.09,140.97,92.6,99.16,95.25,104.7
2016-01-08,32.196865,11.31,28.999952,70.800003,25.969337,111.389999,73.230003,117.702957,94.23,123.9,97.33,52.33,63.54,44.83,109.53,56.63,126.18,152.11,75.21,307.78,65.36,98.16,110.16,140.49,91.39,98.2,94.49,105.17
2016-01-11,32.466331,11.84,29.048890999999998,69.91999799999999,26.027975,114.970001,73.18,118.697433,94.48,125.78,97.51,52.3,64.22,45.09,110.98,57.82,127.68,154.72,76.18,308.32,65.01,97.57,109.58,140.46,91.66,99.23,94.45,105.58
2016-01-12,32.865891,12.09,29.538259999999998,72.68,25.969337,116.580002,74.459999,119.782341,94.48,127.49,99.37,52.78,63.62,44.93,111.29,59.46,128.4,156.06,77.82,313.59,66.71,98.24,112.26,140.86,93.0,101.01,95.12,105.38
2016-01-13,31.667227,11.61,28.637821000000002,70.290001,25.441574,106.559998,72.349998,117.28311200000002,92.15,121.4,95.44,51.64,61.92,44.15,110.6,57.87,128.11,152.12,75.25,304.61,64.87,97.02,109.23,138.72,90.61,99.26,93.05,104.62
2016-01-14,32.326962,10.82,28.060366,72.25,26.061485,107.059998,73.07,117.27401,92.21,119.62,98.37,53.11,63.06,44.87,110.01,58.98,127.32,153.18,79.28,310.0,65.58,98.89,110.76,141.18,91.15,101.88,93.57,105.69
2016-01-15,31.704390000000004,10.27,26.533537,69.589996,25.810167,104.040001,70.860001,114.502106,88.39,119.23,94.97,50.99,61.93,44.43,110.23,58.0,126.86,150.39,78.47,296.58,64.95,97.0,109.27,138.69,90.04,99.27,91.9,105.26
2016-01-19,32.103943,9.47,26.748853999999998,70.129997,25.709644,107.889999,70.800003,115.765373,90.91,119.76,95.26,50.56,62.56,44.87,110.47,58.55,127.64,150.47,78.67,294.0,65.56,97.5,112.58,138.39,90.35,101.38,91.6,107.81
2016-01-20,31.537125,9.49,26.895666,68.709999,25.684511,107.739998,70.33000200000001,112.857155,89.0,116.46,94.35,50.79,60.84,44.42,111.85,56.92,125.39,148.82,76.93,292.0,65.09,95.75,114.79,136.96,88.7,99.06,93.52,105.31
2016-01-21,31.704390000000004,10.02,27.208864000000002,70.720001,25.617495,102.349998,69.510002,112.984367,90.02,120.22,94.16,50.48,61.88,45.87,112.43,59.03,125.89,150.38,76.04,289.9,65.56,95.94,113.5,137.76,89.07,98.29,91.92,105.04
2016-01-22,32.33625,9.85,27.845045000000002,70.370003,25.726397,100.720001,71.550003,114.84745,93.25,122.76,97.94,52.29,62.69,47.04,113.07,59.17,127.59,153.69,80.03,300.56,67.43,96.75,114.33,139.52,89.9,102.24,93.16,106.6
2016-01-25,31.908815,9.81,27.815683,69.720001,25.55048,99.120003,69.91999799999999,113.238846,91.12,121.71,97.01,51.79,63.45,47.03,113.18,57.71,125.04,150.78,76.23,289.72,65.41,96.4,113.38,137.57,89.42,101.75,91.11,106.42
2016-01-26,32.735813,9.54,28.089727000000003,69.769997,25.692888,97.830002,69.870003,115.765373,92.47,122.2,97.34,52.17,64.0,48.25,112.35,58.61,125.55,148.5,77.76,299.26,66.65,101.18,113.96,144.78,90.93,102.53,92.58,106.56
2016-01-27,32.438457,9.05,27.756956,69.540001,25.567232,91.150002,67.43,117.237656,92.51,121.57,94.45,51.22,63.95,49.03,112.24,57.63,124.64,147.73,77.73,302.12,66.23,102.16,112.33,145.55,90.87,101.96,92.8,106.73
2016-01-28,32.828732,8.74,27.453546999999997,66.91999799999999,25.299164,94.410004,65.690002,116.919571,92.51,122.28,109.11,52.06,64.22,49.01,112.6,59.29,126.03,149.59,78.7,299.17,68.42,102.27,111.38,147.32,91.0,103.08,92.09,108.3
2016-01-29,33.739349,8.77,28.667181,67.029999,25.542099,91.839996,68.059998,121.572716,94.34,125.76,112.21,55.09,66.36,49.97,110.54,60.77,129.05,151.12,80.15,314.26,70.95,104.44,115.16,151.0,93.2,105.54,95.12,111.71
2016-02-01,33.748638,8.76,28.676965999999997,67.029999,25.274025,94.089996,68.440002,121.436386,93.1,126.51,115.09,54.71,67.5,50.76,111.13,61.4,131.81,151.25,79.48,312.25,70.16,104.37,115.89,148.73,94.08,106.28,95.59,112.98
2016-02-02,32.847309,8.47,27.463334999999997,65.089996,25.248894,91.489998,64.519997,121.354607,91.35,125.27,114.61,53.0,66.86,49.91,112.07,60.7,129.09,148.5,78.5,301.21,68.05,103.41,113.88,147.87,94.69,103.82,93.04,113.91
2016-02-03,33.163231,8.43,27.600359,63.439999,25.105055,90.739998,65.339996,121.59091200000002,90.49,123.79,112.69,52.16,66.27,50.62,111.49,59.53,131.09,146.7,79.1,304.06,68.64,104.14,112.75,152.52,95.33,102.1,95.11,114.75
2016-02-04,33.869434000000005,8.9,27.610146000000004,64.860001,24.538139,89.709999,67.199997,123.008644,91.09,121.11,110.49,52.0,66.42,50.43,111.32,58.29,124.71,143.28,79.88,313.7,69.78,103.9,114.2,153.44,96.25,102.73,95.7,113.52
2016-02-05,33.172534999999996,8.63,25.867995999999998,62.639999,24.563519,82.790001,58.509998,121.963524,88.84,116.43,104.07,50.16,67.0,50.97,112.4,54.49,124.38,143.99,78.33,307.75,68.64,100.54,111.72,153.47,95.37,98.97,92.87,113.61
2016-02-08,33.088902000000004,8.37,24.683723,61.099998,24.165831,83.32,54.049999,120.200417,85.41,111.85,99.75,49.41,66.9,50.74,111.0,54.14,127.04,147.02,76.28,293.46,65.97,102.0,110.02,153.9,97.3,95.07,89.65,114.17
2016-02-09,32.596424,8.62,24.947981,61.389999,24.622749,86.129997,57.330002,120.08226,85.57,113.86,99.54,49.28,65.81,50.15,111.38,54.42,128.68,147.94,75.44,294.53,66.49,101.97,111.16,154.74,97.53,93.32,90.99,115.35
2016-02-10,32.707932,8.88,24.889256,61.779999,24.952747,88.449997,58.759998,120.936539,85.84,114.33,101.0,49.71,65.79,49.98,113.1,55.14,127.91,148.05,75.29,298.56,66.59,101.73,112.74,152.45,96.12,94.21,91.34,113.74
2016-02-11,32.373413,8.62,24.762024,60.57,24.648136,86.349998,59.240002,116.855949,83.66,113.27,101.91,49.69,65.32,49.39,114.9,54.92,126.98,146.65,72.9,294.21,65.48,101.7,110.62,150.67,95.09,93.43,89.27,111.9
2016-02-12,33.023861,9.3,25.182876999999998,60.889999,24.842749,87.400002,59.68,118.310081,85.67,116.32,102.01,50.5,66.18,50.11,115.36,55.86,127.54,148.65,75.2,306.8,67.55,101.82,111.82,153.96,97.25,94.7,91.78,111.67
2016-02-16,33.172534999999996,9.93,26.416088000000002,66.290001,25.223513,89.050003,59.720001,119.518806,86.45,119.43,101.61,51.09,65.9,50.24,115.58,56.41,128.12,149.11,78.25,314.47,68.47,102.32,115.15,155.53,98.56,96.91,93.62,112.35
2016-02-17,34.036682,9.84,27.071841999999997,66.379997,25.071207,94.760002,63.490002,122.717812,86.19,121.21,105.2,52.42,66.11,50.32,114.73,57.63,129.42,150.91,80.59,319.88,70.26,102.5,118.3,156.62,98.3,99.01,95.0,111.43
2016-02-18,34.036682,9.98,29.401235999999997,66.519997,25.003513,90.489998,61.700001,122.736031,87.5,119.97,103.47,52.19,64.12,50.94,114.47,56.96,127.89,148.65,79.44,315.97,69.43,104.24,117.45,156.78,97.46,98.52,94.69,114.33
2016-02-19,34.17606,9.97,29.79272700000001,67.279999,24.952747,89.230003,62.139999,122.926842,87.32,121.69,104.57,51.82,64.66,50.86,113.41,57.67,128.63,148.7,80.09,314.29,68.86,104.16,117.68,156.45,97.37,98.95,95.63,114.75
2016-02-22,34.482712,10.38,30.849759999999996,68.839996,25.426586,91.93,63.98,124.162834,89.24,122.85,107.16,52.65,65.63,51.07,113.86,58.87,128.31,150.06,80.87,316.45,69.89,104.75,121.27,157.7,98.02,100.35,96.72,115.7
2016-02-23,33.962348999999996,9.71,30.928059,66.970001,25.350435,89.120003,62.900002,123.517593,88.02,124.53,105.46,51.18,66.48,50.63,114.9,58.46,128.85,150.36,78.56,309.86,68.6,104.08,121.15,156.17,96.97,99.65,94.87,116.12
2016-02-24,34.036682,9.89,31.143379,67.230003,25.401203,91.610001,62.52,122.826897,89.03,125.61,106.88,51.36,67.12,50.82,114.59,58.11,130.24,153.87,79.09,307.98,68.96,104.96,120.2,157.22,96.87,99.55,95.68,116.0
2016-02-25,34.64996,10.26,31.211896999999997,66.660004,25.883505,94.529999,69.41999799999999,124.726303,89.42,126.86,108.07,52.1,68.04,51.11,113.59,58.75,131.45,154.72,78.76,313.62,69.64,106.38,121.2,158.99,97.72,100.91,97.01,115.84
2016-02-26,34.343319,10.32,31.006361,66.910004,25.578892,94.790001,69.720001,124.608162,90.01,126.26,107.92,51.3,66.51,51.02,113.07,58.34,127.82,149.68,79.1,313.92,69.72,105.78,121.33,158.27,97.44,101.12,98.16,112.52
2016-02-29,34.17606,10.44,30.804990999999998,68.809998,25.105055,93.410004,67.75,123.844749,92.2,124.12,106.92,50.88,66.34,50.73,114.84,58.21,126.42,150.03,79.39,311.96,69.11,105.21,119.1,156.87,96.55,100.26,96.53,112.82
2016-03-01,35.300407,10.72,32.170383,70.860001,25.418125,98.300003,70.019997,125.635109,94.7,125.7,109.82,52.58,66.46,51.46,116.37,60.04,125.47,150.52,83.41,322.57,71.4,107.22,121.67,159.59,98.36,103.45,99.58,112.6
2016-03-02,35.086678000000006,11.97,32.357033,71.25,25.367357,97.610001,70.43,123.244934,94.62,125.59,109.95,52.95,66.21,52.12,116.46,59.56,126.06,152.79,84.57,326.73,71.67,107.04,121.27,159.41,98.77,102.66,99.33,112.36
2016-03-03,35.207478,12.25,32.072155,71.019997,25.291203,97.93,70.800003,123.363091,95.3,126.8,109.58,52.35,66.14,51.89,117.03,59.04,125.59,151.6,86.09,323.14,72.34,106.65,121.82,159.38,99.62,102.8,100.3,111.62
2016-03-04,35.207478,12.01,31.97393,72.220001,25.138901,101.580002,71.059998,122.945045,95.94,125.56,108.39,52.03,66.78,51.81,116.89,58.7,125.61,150.9,85.78,323.76,72.78,106.5,121.8,160.07,100.4,103.18,102.49,114.29
2016-03-07,35.644207,12.26,31.76763900000001,72.889999,25.206593,95.489998,70.489998,120.26403,95.6,126.17,105.73,51.03,67.89,52.21,117.53,58.0,123.46,148.17,87.41,326.73,72.56,106.74,121.76,160.57,101.3,102.4,103.37,114.45
2016-03-08,35.449078,11.48,31.188082,71.07,24.842749,96.230003,69.82,119.418823,94.6,126.72,105.93,51.65,68.04,52.46,118.0,57.6,125.47,150.95,84.8,320.4,71.97,106.22,121.66,160.2,100.62,102.62,101.51,115.45
2016-03-09,35.755711,12.03,31.168434,72.43,25.164282,98.0,71.040001,119.882317,94.6,126.03,107.51,52.84,67.53,52.34,116.56,57.07,125.22,153.05,86.09,328.31,71.52,106.84,121.1,160.09,99.56,103.4,102.28,116.26
2016-03-10,35.356155,11.3,31.119326,71.970001,25.037359,97.360001,70.699997,121.390984,94.71,125.89,107.32,52.05,67.41,52.32,116.93,57.52,125.51,152.87,85.43,324.99,71.31,107.14,122.09,159.89,99.87,103.58,102.91,115.69
2016-03-11,36.192436,11.1,31.649763,74.010002,25.807356,97.660004,71.629997,123.16317,98.46,128.46,109.41,53.07,67.17,52.53,117.6,57.59,126.45,152.71,86.43,339.65,72.63,107.71,125.1,161.88,100.82,105.68,105.01,115.82
