,Date,ORCL,SQ,NVDA
0,2015-11-19,36.108596999999996,13.07,30.458263
1,2015-11-20,36.404728000000006,12.85,30.722525
2,2015-11-23,36.219639,12.12,30.262524
3,2015-11-24,36.51577,12.02,30.507206
4,2015-11-25,36.3307,11.9,30.468054
5,2015-11-27,36.256664,12.05,30.722525
6,2015-11-30,36.062332,12.04,31.045509000000003
7,2015-12-01,36.302937,11.91,32.053604
8,2015-12-02,35.812477,11.93,31.808926
9,2015-12-03,34.988884000000006,11.92,31.740406
10,2015-12-04,36.238152,12.04,33.032340999999995
11,2015-12-07,35.923522999999996,12.36,32.405949
12,2015-12-08,35.840237,12.12,32.846375
13,2015-12-09,35.701431,11.99,32.014458000000005
14,2015-12-10,35.34053,12.05,32.278713
15,2015-12-11,34.433651,11.95,31.799136999999998
16,2015-12-14,34.840816,12.33,31.877434
17,2015-12-15,35.359039,12.47,32.268932
18,2015-12-16,36.006813,12.27,32.464672
19,2015-12-17,34.174541,12.32,31.975306
20,2015-12-18,33.637814,12.34,31.456578999999998
21,2015-12-21,33.702595,12.24,32.20042
22,2015-12-22,33.859905,12.46,32.229778
23,2015-12-23,34.174541,12.5,32.357021
24,2015-12-24,34.248569,12.6,32.464672
25,2015-12-28,34.044987,12.83,32.435318
26,2015-12-29,34.276337,12.74,32.963833
27,2015-12-30,34.165290999999996,12.78,32.68
28,2015-12-31,33.804390000000005,13.09,32.259144
29,2016-01-04,33.218990000000005,12.16,31.681690000000003
30,2016-01-05,33.116779,11.51,32.190632
31,2016-01-06,33.284031,11.52,30.859546999999996
32,2016-01-07,32.559261,11.16,29.636131
33,2016-01-08,32.196865,11.31,28.999952
34,2016-01-11,32.466331,11.84,29.048890999999998
35,2016-01-12,32.865891,12.09,29.538259999999998
36,2016-01-13,31.667227,11.61,28.637821000000002
37,2016-01-14,32.326962,10.82,28.060366
38,2016-01-15,31.704390000000004,10.27,26.533537
39,2016-01-19,32.103943,9.47,26.748853999999998
40,2016-01-20,31.537125,9.49,26.895666
41,2016-01-21,31.704390000000004,10.02,27.208864000000002
42,2016-01-22,32.33625,9.85,27.845045000000002
43,2016-01-25,31.908815,9.81,27.815683
44,2016-01-26,32.735813,9.54,28.089727000000003
45,2016-01-27,32.438457,9.05,27.756956
46,2016-01-28,32.828732,8.74,27.453546999999997
47,2016-01-29,33.739349,8.77,28.667181
48,2016-02-01,33.748638,8.76,28.676965999999997
49,2016-02-02,32.847309,8.47,27.463334999999997
50,2016-02-03,33.163231,8.43,27.600359
51,2016-02-04,33.869434000000005,8.9,27.610146000000004
52,2016-02-05,33.172534999999996,8.63,25.867995999999998
53,2016-02-08,33.088902000000004,8.37,24.683723
54,2016-02-09,32.596424,8.62,24.947981
55,2016-02-10,32.707932,8.88,24.889256
56,2016-02-11,32.373413,8.62,24.762024
57,2016-02-12,33.023861,9.3,25.182876999999998
58,2016-02-16,33.172534999999996,9.93,26.416088000000002
59,2016-02-17,34.036682,9.84,27.071841999999997
60,2016-02-18,34.036682,9.98,29.401235999999997
61,2016-02-19,34.17606,9.97,29.792727000000003
62,2016-02-22,34.482712,10.38,30.849759999999996
63,2016-02-23,33.962348999999996,9.71,30.928059
64,2016-02-24,34.036682,9.89,31.143379
65,2016-02-25,34.64996,10.26,31.211896999999997
66,2016-02-26,34.343319,10.32,31.006361
67,2016-02-29,34.17606,10.44,30.804990999999998
68,2016-03-01,35.300407,10.72,32.170383
69,2016-03-02,35.086678000000006,11.97,32.357033
70,2016-03-03,35.207478,12.25,32.072155
71,2016-03-04,35.207478,12.01,31.97393
72,2016-03-07,35.644207,12.26,31.767639000000003
73,2016-03-08,35.449078,11.48,31.188082
74,2016-03-09,35.755711,12.03,31.168434
75,2016-03-10,35.356155,11.3,31.119326
76,2016-03-11,36.192436,11.1,31.649763
77,2016-03-14,35.960136,11.61,31.728352
78,2016-03-15,35.997318,11.95,31.571182
79,2016-03-16,37.372528,11.87,32.514187
80,2016-03-17,37.734924,11.95,32.239143
81,2016-03-18,38.54332,12.04,33.211628000000005
82,2016-03-21,38.664120000000004,13.4,33.309849
83,2016-03-22,38.450401,13.06,33.250916
84,2016-03-23,37.865005,12.59,33.820656
85,2016-03-24,38.06942,12.88,33.869762
86,2016-03-28,37.744202,13.4,34.213577
87,2016-03-29,37.81855,13.74,34.763664
88,2016-03-30,38.06942,15.02,35.127113
89,2016-03-31,38.013676000000004,15.28,34.999413
90,2016-04-01,38.24596,14.22,35.510216
91,2016-04-04,38.162341999999995,14.28,35.166401
92,2016-04-05,37.660571999999995,14.26,35.117290000000004
93,2016-04-06,37.865005,14.97,35.166401
94,2016-04-07,37.140228,14.81,34.802956
95,2016-04-08,37.502613000000004,15.13,35.028884999999995
96,2016-04-11,37.530483000000004,15.36,35.244991
97,2016-04-12,37.698372,15.48,35.2057
98,2016-04-13,38.528442,15.01,36.089771
99,2016-04-14,38.463158,14.82,36.188004
100,2016-04-15,38.257977000000004,14.33,36.47287
101,2016-04-18,38.463158,14.51,36.315704
102,2016-04-19,38.295277,14.09,35.667377
103,2016-04-20,38.332581,13.63,35.804909
104,2016-04-21,38.229988,13.24,35.765606
105,2016-04-22,37.959511,13.34,35.62809
106,2016-04-25,38.03413,13.59,35.804909
107,2016-04-26,37.91288,14.18,35.83437
108,2016-04-27,38.099415,14.69,36.649685
109,2016-04-28,37.614433,15.35,35.559338000000004
110,2016-04-29,37.176075,14.89,34.901188
111,2016-05-02,37.586445,14.0,35.362869
112,2016-05-03,37.008198,13.45,34.940483
