BABA,PFE,NFLX,CRM,GD
63.93,27.822315000000003,111.25,75.269997,129.018661
63.919998,27.248917,108.33000200000001,74.41999799999999,125.92121100000001
66.279999,27.664425,108.099998,75.0,126.272095
67.699997,27.498219,114.93,75.089996,127.666481
68.709999,27.622873,113.33000200000001,75.25,128.395203
70.300003,27.606254999999997,113.449997,75.879997,129.267853
69.68,27.406809000000003,109.730003,76.629997,127.486572
68.540001,27.456671000000004,110.230003,75.58000200000001,125.49836699999999
71.779999,28.320927,101.089996,77.699997,127.10876499999999
71.989998,28.595156,98.989998,78.769997,127.477577
72.650002,28.66995,101.690002,77.93,127.07276200000001
71.790001,28.254441999999997,98.989998,77.529999,127.07276200000001
69.480003,27.805698,97.959999,75.83000200000001,128.728073
70.989998,27.697664000000003,97.32,77.370003,132.470505
75.620003,28.295992,100.040001,78.559998,133.397171
76.349998,28.3874,103.040001,78.220001,133.280167
79.440002,29.077147999999998,103.07,77.75,133.505096
82.349998,29.459412,105.800003,78.529999,135.646194
82.220001,28.894325,105.120003,78.139999,134.917526
83.83000200000001,28.104862,108.379997,77.709999,133.667053
84.349998,29.135316999999997,107.639999,79.199997,133.792969
83.440002,29.06053,109.739998,78.629997,132.398544
85.400002,28.599777000000003,114.050003,78.389999,132.497498
85.379997,28.608159999999998,113.5,78.709999,132.308594
83.610001,28.423853,114.059998,79.410004,131.274033
81.379997,28.189296999999996,109.860001,78.220001,129.807587
81.43,28.306578000000002,112.699997,78.25,129.492783
79.849998,28.264694,112.860001,78.709999,128.92598
78.760002,27.971487,108.91999799999999,78.300003,127.612549
75.849998,27.870965999999996,103.650002,75.599998,126.487976
78.300003,27.778812,111.349998,76.260002,128.898956
78.129997,27.535873,117.099998,77.239998,128.530151
77.690002,27.904472,120.629997,77.349998,129.285843
77.870003,27.049994,120.220001,80.639999,130.626297
79.949997,26.957846000000004,123.839996,80.989998,130.896194
81.309998,26.245783000000003,125.029999,80.779999,130.07753
80.860001,26.781923,123.309998,80.389999,130.923172
81.709999,27.535873,124.160004,80.410004,130.608292
81.379997,27.468854999999998,125.440002,79.970001,130.950119
84.08000200000001,27.452099,123.33000200000001,79.690002,131.759842
84.0,28.16416,125.370003,81.010002,132.78538500000002
85.0,27.561004999999998,128.929993,80.879997,130.76123
82.589996,27.133765999999998,126.809998,79.93,127.711502
84.849998,27.477235999999998,130.929993,82.139999,129.402771
84.760002,27.359953000000004,125.360001,80.68,128.728073
84.379997,27.251046999999996,126.980003,81.08000200000001,127.747475
83.41999799999999,27.049994,124.199997,79.709999,126.101151
84.33000200000001,27.108634999999996,122.910004,79.379997,125.94823500000001
79.739998,26.857319,118.910004,76.870003,124.61918600000001
80.57,26.957846000000004,120.66999799999999,76.989998,125.839722
82.489998,27.024864,118.599998,77.370003,124.800041
84.629997,27.292933,122.639999,78.889999,126.246582
83.559998,27.083508000000002,122.510002,78.43,124.90851599999999
82.650002,26.798678999999996,118.019997,77.029999,123.59761
82.870003,27.19241,116.629997,77.290001,124.8452
84.839996,27.242672,116.239998,77.860001,126.51781499999998
84.800003,27.276178,118.160004,78.040001,126.472595
83.709999,27.326445,117.33000200000001,77.83000200000001,126.427406
82.139999,27.158898999999998,117.110001,78.199997,126.201347
