,AMT,AMT,AMT,AMT,AMT,BABA,BABA,BABA,BABA,BABA,BLK,BLK,BLK,BLK,BLK,COST,COST,COST,COST,COST,CRM,CRM,CRM,CRM,CRM,FB,FB,FB,FB,FB,MSFT,MSFT,MSFT,MSFT,MSFT,NFLX,NFLX,NFLX,NFLX,NFLX,NVDA,NVDA,NVDA,NVDA,NVDA,ORCL,ORCL,ORCL,ORCL,ORCL,PFE,PFE,PFE,PFE,PFE,PPG,PPG,PPG,PPG,PPG,SPY,SPY,SPY,SPY,SPY,SQ,SQ,SQ,SQ,SQ,TROW,TROW,TROW,TROW,TROW,UNH,UNH,UNH,UNH,UNH
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2015-11-19,99.87,100.26,99.22,99.62,1223026.0,78.06,79.15,77.403,77.91,12089473,360.53,361.0347,357.95,359.06,324303.0,161.69,163.21,161.44,162.83,2496431,81.05,82.9,80.45,80.61,10181904,107.36,107.73,105.95,106.26,23112337,53.99,54.66,53.781,53.94,24682568,120.21,123.13,119.61,120.19,17349452,31.14,31.43,30.8899,31.12,5582977,38.67,39.32,38.62,39.03,10307216,32.79,32.97,31.95,32.29,77611954,104.23,104.57,102.8839,103.37,939442.0,208.59,209.05,208.2,208.53,61897641,11.2,14.78,11.05,13.04,46006308,76.38,76.48,76.01,76.38,521700,109.74,113.71,109.61,110.61,13240076.0
2015-11-20,100.2,100.87,99.53,100.47,1023837.0,78.44,80.785,78.4,79.965,19449298,361.07,363.57,360.8,362.4,354459.0,164.16,164.47,162.75,163.1,1488946,80.9,82.1397,79.71,81.0,4517822,106.84,107.87,106.62,107.35,19198558,54.25,54.3,53.265,54.18,31681860,120.85,124.07,119.21,123.85,16329698,31.35,31.57,31.16,31.39,5158408,39.25,39.575,39.2,39.33,10242859,32.55,32.59,32.08,32.18,59537778,103.5,105.08,103.31,104.6,1081463.0,209.45,210.12,208.86,209.35,67021762,13.92,14.05,12.5,12.8,15450066,76.67,76.91,75.91,76.38,671459,111.01,114.44,110.6,113.0,5609101.0
2015-11-23,100.49,100.67,99.45,99.93,755145.0,80.45,82.19,79.97,81.31,16904194,362.85,364.555,361.07,363.25,290407.0,163.53,163.9,162.73,163.44,796464,80.44,81.74,80.39,80.76,2627318,107.19,107.468,106.08,106.93,16882861,54.25,54.46,53.75,54.18,24345845,124.3,126.2,121.66,125.04,14433446,31.65,31.65,30.805,30.91,5240185,39.44,39.53,39.05,39.145,7882632,31.42,31.69,30.99,31.31,100604448,105.0,106.03,104.29,105.43,1042355.0,209.38,209.98,208.52,209.06,54738608,13.0,13.15,12.1,12.1,4859042,76.42,76.7,76.02,76.15,425575,112.97,114.49,112.1,112.15,3006888.0
2015-11-24,99.28,99.45,98.32,99.27,1054663.0,80.85,81.11,79.27,80.79,12496062,360.53,361.4564,356.6,356.87,601783.0,162.51,163.92,161.0,162.19,2252206,80.3,80.8,79.13,80.4,2696677,106.0,106.49,104.39,105.75,21111643,53.92,54.44,53.58,54.26,21248884,123.67,124.66,120.03,123.3,15577266,30.92,31.44,30.78,31.16,4034078,38.78,39.62,38.78,39.47,11667947,31.38,32.15,31.215,31.985,74101573,104.53,106.04,104.53,105.5,744893.0,207.87,209.83,207.41,209.38,81748691,12.0,12.23,11.52,12.02,4462720,75.24,75.78,74.9701,75.63,593463,111.7,113.45,111.06,113.23,2363542.0
2015-11-25,99.15,99.6,98.9,99.07,622603.0,80.91,82.675,80.82,81.63,13755605,358.01,362.262,356.8,360.5901,294943.0,162.09,162.8,150.47,162.41,1531429,80.37,81.12,79.75,80.4,2089252,106.39,106.6,105.1,105.43,12931967,54.16,54.23,53.69,53.7,17641181,124.23,125.2,122.36,124.16,9403198,31.11,31.48,31.02,31.14,2925011,39.47,39.6,39.245,39.27,6393772,32.36,33.24,32.205,32.88,73636122,105.91,106.76,105.38,106.5,868921.0,209.5,209.74,209.01,209.32,42760518,12.12,12.4,11.85,11.9,2903253,75.59,76.42,75.34,76.01,631376,113.47,115.05,113.0,114.42,2408146.0
2015-11-27,99.09,100.0426,99.09,99.7,367421.0,80.55,81.41,79.275,81.25,11119876,359.65,360.0,355.27,358.52,179634.0,163.11,164.41,162.49,163.58,637964,80.22,80.48,79.45,79.96,1897575,105.78,105.96,104.86,105.47,5193953,53.81,54.08,53.79,53.94,7601851,123.85,126.39,123.59,125.43,5951558,31.19,31.49,31.03,31.39,1826852,39.14,39.34,39.08,39.19,5379811,32.92,33.0,32.67,32.8,13948284,106.28,106.68,105.54,106.23,391806.0,209.43,209.8,208.86,209.53,27557063,12.05,12.31,11.9,12.05,886849,76.06,76.13,75.49,75.95,413654,114.49,115.9,114.08,114.32,1431484.0
2015-11-30,99.95,100.21,99.23,99.42,1126101.0,81.5,84.47,81.38,84.09,35966311,359.16,364.87,358.34,364.0,530146.0,164.17,164.44,160.79,161.42,1599222,79.73,80.18,79.29,79.66,2976751,105.88,106.0999,103.75,104.36,16144213,54.56,54.96,53.9999,54.36,42895605,126.03,126.6,122.89,123.36,12173740,31.42,31.86,31.39,31.71,5812959,39.11,39.29,39.0,39.01,13559860,32.91,32.91,32.53,32.78,31936174,106.36,106.49,105.12,105.76,1037552.0,209.75,209.89,208.56,208.67,78967202,12.28,12.35,11.9,11.94,1843301,76.16,76.41,75.48,76.15,988674,114.56,114.815,112.62,112.73,2924969.0
2015-12-01,99.5,101.19,99.5,101.16,1427015.0,83.77,84.39,83.5,84.0,21758655,362.94,364.808,360.24,361.72,494565.0,162.02,163.04,160.74,161.28,1506157,80.35,81.1,79.65,80.99,2878232,104.83,107.15,104.5,107.09,19864325,54.37,55.23,54.3,55.21,34267517,124.4,125.57,122.42,125.36,11302660,32.0,32.79,31.97,32.75,9229959,39.09,39.275,38.91,39.23,10849592,32.95,33.73,32.8,33.63,43011080,106.39,106.87,105.82,106.74,707215.0,209.44,210.82,209.11,210.74,80426519,12.12,12.18,11.89,11.9,1169716,76.6,77.05,76.02,76.46,992870,113.53,116.37,113.05,116.3,3182038.0
2015-12-02,100.96,101.24,99.24,99.47,1271853.0,84.27,85.82,84.25,84.98,31721053,360.7,363.41,356.13,358.92,765495.0,161.71,162.44,160.63,161.09,1125641,80.77,81.94,80.42,80.87,2688155,107.0,107.92,105.79,106.07,20552115,55.38,55.96,55.06,55.23,38264991,125.53,131.35,124.93,128.93,22126214,32.8,33.14,32.43,32.5,6486474,39.15,39.39,38.65,38.7,11451458,33.67,33.83,32.79,32.91,27271713,106.2,106.81,105.08,105.35,709082.0,210.61,211.0,208.23,208.5,88408000,11.97,12.155,11.9,11.9698,1639534,76.5,76.59,75.3,75.56,851779,116.24,119.38,115.84,117.68,4566732.0
2015-12-03,99.43,99.68,97.44,97.86,1696154.0,85.05,85.1,82.1,82.49,20632766,359.08,360.615,350.105,352.03,682622.0,164.51,166.1,163.31,163.67,2587387,80.96,82.06,79.56,79.95,3534456,106.49,106.85,103.35,104.39,20412073,55.45,55.77,53.93,54.2,33044627,129.62,132.2,126.39,126.8,23833633,32.79,33.1,32.27,32.435,4890955,38.96,38.96,37.75,37.81,17294158,32.92,33.0,32.36,32.42,41170125,105.4,105.99,103.92,104.34,786295.0,208.83,209.15,204.7511,205.6,125709867,12.04,12.25,11.91,11.94,1362725,75.74,75.93,74.64,75.18,1711983,117.8,118.28,114.43,114.99,3222208.0
2015-12-04,98.07,99.01,97.17,97.5,2807430.0,82.58,85.0,82.42,84.855,13806789,353.91,361.66,351.68,360.49,458171.0,164.12,167.24,164.01,166.8,1818292,80.33,82.14,80.16,82.13,2903890,104.81,107.73,104.11,106.15,17946245,54.16,56.23,54.1,55.9,35855181,126.9,130.99,125.75,130.93,18350828,32.45,33.81,32.43,33.74,10336216,38.02,39.24,37.875,39.16,15763608,32.49,32.89,32.41,32.79,22571345,104.51,106.37,104.37,105.89,732168.0,206.08,209.97,205.93,209.63,138261490,11.95,12.04,11.8,12.025,1268468,75.3,76.26,75.14,76.0,1710570,115.59,118.2499,115.24,117.64,2312809.0
2015-12-07,97.06,97.98,97.05,97.71,1900245.0,84.8,85.1299,84.2,84.775,9664739,359.42,360.39,353.22,355.34,406847.0,167.33,167.4999,156.02,167.12,2142876,81.81,81.86,80.3,80.64,2284140,106.48,106.83,104.66,105.61,13664511,55.79,55.97,55.29,55.82,26472682,131.19,133.27,122.75,125.36,20841788,33.74,33.74,33.01,33.12,6981631,39.16,39.2399,38.5,38.82,12321507,32.74,32.88,32.45,32.66,17783477,105.27,105.86,104.275,105.01,710848.0,209.22,209.25,207.2,208.29,80571904,12.14,12.6,12.1,12.345,2583991,75.86,76.07,74.69,75.15,1197174,117.89,117.89,115.2,115.86,2159608.0
2015-12-08,97.34,97.6099,96.28,96.88,2232340.0,82.77,84.67,82.61,84.41,12684254,353.4,354.9399,346.56,348.94,508324.0,166.74,169.73,165.87,168.8801,2389329,80.21,81.46,79.86,81.1,1602484,104.0,106.91,103.95,106.49,17245235,55.47,56.1,54.99,55.79,28527388,121.36,128.24,121.1,127.0099,16962846,32.7,33.7,32.49,33.55,6538801,38.29,38.87,38.26,38.73,13764234,32.35,32.74,32.29,32.5308,22125116,103.92,104.53,102.66,102.74,1172986.0,206.48,208.04,205.78,206.96,85182207,12.36,12.44,12.03,12.1,1003342,74.59,74.68,73.94,74.12,1540449,114.95,116.3499,113.95,115.93,2389266.0
2015-12-09,96.29,97.44,94.86,95.55,2143948.0,84.37,85.2,82.97,83.67,19630748,348.04,353.4897,343.13,344.7,450042.0,162.63,163.89,158.22,159.74,7937075,80.83,81.4,79.22,79.69,2557380,106.18,106.44,103.55,104.6,20782289,55.37,55.87,54.51,54.98,31001916,127.71,128.78,122.33,124.23,16342634,33.54,33.75,32.37,32.71,7298389,38.63,39.35,38.325,38.57,15451450,32.42,32.645,32.12,32.29,30548670,102.75,103.58,100.59,101.6,1533701.0,206.19,208.68,204.18,205.36,130361762,12.0,12.24,11.9,11.98,1033497,73.75,74.47,72.75,73.17,780524,115.4,116.815,114.66,115.07,2874961.0
2015-12-10,95.54,96.04,94.97,95.06,1290979.0,83.34,84.34,82.85,84.3399,9042472,344.25,349.0395,342.82,345.25,494124.0,160.92,163.41,160.611,161.86,2938635,79.8,79.975,79.16,79.37,1519673,105.0,106.4,104.41,105.42,15628409,55.38,55.655,55.01,55.28,25896116,124.5,125.21,121.62,122.91,12329853,32.81,33.16,32.7,32.99,4950697,38.61,38.82,38.11,38.2,16546040,32.43,32.72,32.24,32.37,39717813,101.33,101.74,100.5101,100.88,1215593.0,205.44,207.43,205.14,205.82,87012644,12.0,12.13,11.91,12.05,659215,73.13,74.13,72.94,73.34,1296508,115.05,117.05,114.34,116.23,2169993.0
2015-12-11,94.04,94.6,93.25,93.66,2376885.0,82.85,83.05,79.422,79.7,18741239,340.64,341.86,321.22,322.74,1289248.0,159.73,161.2,159.36,159.97,1919827,78.3,78.88,76.65,76.87,3618525,104.15,104.34,101.91,102.13,23167492,54.39,55.1,54.01,54.08,32893042,121.45,123.0,118.6,118.9,14405613,32.71,32.88,32.42,32.48,4909135,37.63,37.85,37.035,37.21,18132125,32.11,32.23,31.97,32.07,34679238,99.46,99.96,98.41,98.7,1202597.0,203.36,204.14,201.51,201.85,153723143,12.0,12.02,11.9,11.92,844772,72.33,72.48,70.47,70.8,1740217,114.8,117.34,114.62,116.0,2954195.0
2015-12-14,93.38,94.41,92.88,94.08,1668124.0,80.15,80.76,78.99,80.59,10151027,322.68,327.81,303.34,319.66,947529.0,160.09,161.88,159.41,161.81,1690397,76.76,77.67,75.85,77.0,2833250,102.285,104.74,101.46,104.69,21438917,54.33,55.21,53.68,55.16,38055263,119.77,120.9,114.66,120.66,16884598,32.52,32.75,32.18,32.575,5340074,37.16,37.68,36.85,37.65,17451358,31.99,32.21,31.84,32.18,32025435,98.56,98.96,96.88,97.7,1403848.0,202.07,203.05,199.95,202.99,147606862,12.2,12.4,11.87,12.32,2064709,70.2,71.0,68.76,70.05,1587918,115.88,116.74,110.55,115.91,2784507.0
2015-12-15,94.87,96.15,94.775,95.6,1272722.0,81.06,83.39,80.9,82.53,11208114,323.5,331.43,322.65,329.36,718131.0,163.32,163.74,160.72,161.25,1578750,77.66,77.87,76.97,77.38,2657415,105.3,105.8,104.28,104.52,17995018,55.63,55.9,55.09,55.2,34653782,121.93,123.3,118.54,118.6,10118849,32.94,33.2,32.76,32.97,6273111,38.1,38.53,37.95,38.22,16297189,32.59,32.82,32.165,32.25,41728736,98.72,99.42,98.47,98.54,886948.0,204.7,206.11,202.8666,205.09,113374768,12.5,12.7,12.305,12.43,1205417,70.89,71.65,70.89,71.4,1699813,117.02,118.5,116.66,117.67,2212440.0
2015-12-16,96.01,97.77,95.64,97.5,1475754.0,83.3,85.05,82.995,84.64,15069360,331.1,333.9999,322.16,330.84,834035.0,161.95,163.2528,160.0,162.74,1683393,77.64,79.1,77.12,78.9,3071799,105.37,107.09,104.19,106.79,19466203,55.54,56.245,54.76,56.125,31847451,119.8,123.0,118.09,122.66,11824612,33.04,33.28,32.75,33.16,5043846,38.67,39.14,38.345,38.92,20908776,32.43,32.67,31.99,32.57,40161850,99.18,100.325,98.53,100.22,934159.0,206.365,208.39,204.8,207.98,145603746,12.55,12.8,12.13,12.24,1304741,72.14,72.4062,70.97,72.11,2262761,118.3,119.76,116.9,118.81,2767484.0
2015-12-17,97.83,97.88,96.08,96.11,1383174.0,85.0,85.32,82.85,83.49,11568086,332.85,336.35,328.575,330.25,794075.0,162.84,163.58,160.6,160.68,1212886,78.97,79.32,78.04,78.4,2111809,107.49,107.75,106.13,106.22,19156744,56.36,56.79,55.5348,55.7,35395844,123.89,126.35,122.42,122.51,15564826,33.22,33.56,32.65,32.66,3993987,38.09,38.21,36.54,36.92,38409417,32.56,32.67,32.3,32.34,31897991,100.53,100.66,98.17,98.2,907795.0,208.4,208.48,204.84,204.89,123942014,12.3,12.5,12.26,12.33,591776,72.14,72.4949,70.9,71.01,1056035,118.83,121.09,118.6401,119.28,2877320.0
2015-12-18,95.61,95.9,94.59,94.61,1956225.0,83.2,83.75,82.03,82.6,9796197,329.57,329.57,321.43,321.49,587598.0,159.79,160.68,157.6,157.7,2586881,78.11,79.49,77.03,77.04,3403457,106.08,106.59,103.97,104.03,22468994,55.83,56.0,54.03,54.18,53907729,120.85,122.19,117.92,118.0,13778977,32.44,32.77,32.1,32.16,6714120,36.89,37.08,36.31,36.35,18987044,32.25,32.45,31.95,31.96,39059304,97.99,98.2,96.25,96.29,1181953.0,202.75,202.93,199.96,199.96,172379995,12.4,12.58,12.1,12.24,721071,70.48,70.98,69.81,69.9,1368339,118.61,118.86,115.85,115.865,4947314.0
2015-12-21,95.42,95.74,94.79,95.58,961197.0,83.15,83.73,82.43,82.86,6658053,325.63,328.12,322.48,325.56,333935.0,158.81,159.43,157.33,159.35,1025698,78.3,78.33,76.43,77.29,1839655,104.86,105.15,103.6,104.71,12595875,54.89,55.35,54.2262,54.82,31757554,119.45,119.59,115.66,116.63,10146498,32.49,32.93,32.2,32.895,5014427,36.72,36.84,36.1,36.43,13644626,32.17,32.45,32.01,32.44,23610367,96.92,97.37,96.491,97.23,798355.0,201.43,201.88,200.09,201.65,80958257,12.37,12.48,12.02,12.2199,662511,70.52,70.75,70.02,70.39,1357104,116.57,117.77,116.0,117.39,2145126.0
2015-12-22,96.15,97.0,95.86,96.4,1026718.0,82.89,85.1,82.89,84.92,11100253,326.0,331.42,322.47,330.64,492526.0,159.9,161.39,159.03,161.22,1236754,77.52,78.09,76.85,77.84,1630861,105.22,105.6601,104.81,105.51,12687391,54.92,55.48,54.5,55.35,24396938,117.3,117.43,114.86,116.24,8531519,33.0,33.26,32.73,32.93,2677363,36.39,36.71,36.25,36.6,12800025,32.62,32.62,32.36,32.51,18762905,97.9,99.16,97.56,98.75,634725.0,202.72,203.85,201.55,203.51,84529093,12.32,12.4,12.12,12.32,430329,70.63,70.98,70.19,70.92,1522522,118.19,118.34,116.214,117.43,1714257.0
2015-12-23,96.68,98.54,96.68,98.51,1311794.0,85.05,85.09,83.72,84.88,8298771,333.81,340.1699,332.5901,339.56,482072.0,162.43,162.43,160.78,161.71,1233777,78.2,78.9,77.94,78.04,1682308,105.85,106.11,103.86,104.63,16772301,55.7,55.88,55.44,55.83,21237563,116.91,118.56,115.78,118.18,8153263,32.98,33.185,32.92,33.06,2629786,36.66,37.215,36.65,36.94,11585574,32.58,32.74,32.53,32.57,17473078,99.38,100.52,99.24,100.25,600070.0,204.71,206.07,204.58,206.02,79877884,12.41,12.66,12.31,12.4401,476842,71.0,73.0,70.92,72.76,1288515,117.9,118.83,117.55,118.67,1654909.0
2015-12-24,98.63,98.7,97.92,98.17,499058.0,84.56,84.8,83.41,83.77,3386535,340.37,340.87,335.18,337.37,152013.0,161.85,162.33,161.44,161.75,327015,78.03,78.35,77.58,77.81,838964,104.68,105.32,104.5,105.02,5561672,55.86,55.96,55.43,55.68,8031068,118.22,118.8,117.3,117.33,2982498,32.96,33.25,32.91,33.17,1049126,36.73,37.225,36.73,37.01,4161976,32.5,32.72,32.5,32.6,6734751,99.94,100.79,99.94,100.37,255899.0,205.72,206.33,205.42,205.57,31975061,12.59,12.6,12.45,12.56,265757,72.48,72.9611,72.18,72.43,324669,118.53,119.18,118.29,118.31,608331.0
2015-12-28,97.74,98.52,97.5,98.39,808228.0,82.56,82.75,81.52,82.21,7114357,336.94,342.82,334.88,342.4,673191.0,161.05,162.26,160.4,161.15,845943,77.66,78.2,77.38,78.18,1228295,105.02,105.98,104.53,105.93,11653955,55.33,55.95,54.98,55.95,19251415,117.26,117.35,113.85,117.11,7631849,32.82,33.14,32.36,33.14,3065956,36.83,36.86,36.47,36.79,9916516,32.6,32.65,32.37,32.43,13502451,100.2,100.33,99.42,99.9,477917.0,204.86,205.26,203.94,205.19,50363129,12.6,12.84,12.49,12.8,1205402,72.25,72.8303,71.97,72.73,780120,118.26,118.61,117.38,118.33,1194420.0
2015-12-29,98.95,99.59,98.9201,99.39,859066.0,82.5,83.51,82.41,83.28,5527597,344.77,347.151,341.8925,343.5099,335498.0,161.9,163.23,161.5201,162.63,851002,78.5,79.76,78.44,79.43,1726661,106.42,107.74,106.25,107.26,15367698,56.23,56.85,56.06,56.55,22793241,118.19,119.6,116.92,119.12,7294119,33.19,33.78,33.07,33.675,4491084,37.02,37.21,36.98,37.04,9555609,32.57,32.91,32.53,32.83,15015468,100.82,100.935,99.95,100.55,472643.0,206.51,207.79,206.47,207.43,63699688,12.83,12.83,12.5,12.73,789890,72.73,73.64,72.73,73.09,771240,118.87,120.41,118.7,119.8,1431596.0
2015-12-30,99.33,99.53,98.02,98.08,842816.0,82.94,83.11,81.5,81.69,6100805,342.36,345.25,341.2001,342.08,260929.0,162.96,163.41,151.83,162.69,630467,79.3,79.89,78.97,79.12,1457429,107.0,107.25,106.06,106.216,11349999,56.47,56.78,56.2875,56.31,15756590,118.93,119.02,116.43,116.71,7257380,33.65,33.94,33.38,33.39,3959668,37.08,37.16,36.83,36.92,8787090,32.72,32.89,32.65,32.73,13120275,100.33,100.71,99.71,99.75,488684.0,207.11,207.21,205.76,205.94,45511770,12.66,12.83,12.53,12.77,861793,72.93,73.39,72.0351,72.1,878492,120.03,120.11,118.66,118.9,1308762.0
2015-12-31,97.96,97.99,96.88,96.95,977708.0,81.47,82.17,81.25,81.25,5361131,339.94,345.75,337.8,340.36,335431.0,162.08,164.0,161.5,161.51,1258704,78.99,79.415,78.36,78.37,1670101,106.06,106.17,104.62,104.65,14654528,56.05,56.19,55.42,55.45,21062202,116.21,117.46,114.28,114.39,8119698,33.36,33.49,32.96,32.96,3109111,36.84,36.95,36.43,36.52,8179221,32.47,32.58,32.27,32.28,16169308,99.38,100.0,98.79,98.82,536491.0,205.13,205.89,203.87,203.93,78736949,12.7,13.5,12.65,13.04,2054191,72.05,72.49,71.49,71.49,790053,118.64,119.3699,117.36,117.65,1455653.0
2016-01-04,96.29,96.78,95.09,96.76,2222366.0,78.21,81.27,75.18,76.7,20258526,333.04,333.46,329.005,333.38,585251.0,159.74,160.1,157.865,159.52,1842856,77.14,77.21,75.64,76.73,3930564,101.95,102.24,99.75,102.2,31875847,54.37,54.8,53.39,54.79,44063057,108.99,110.0,105.21,109.95,18379553,32.29,32.58,32.04,32.37,7413688,35.93,36.01,35.36,35.76,16238794,31.85,32.03,31.57,31.96,31419595,97.27,97.99,96.06,97.97,1194024.0,200.5,201.03,198.59,200.99,151908002,12.75,12.9,12.05,12.17,2467544,69.93,71.49,69.17,70.19,1881736,116.91,116.91,114.525,116.45,3887324.0
2016-01-05,96.94,98.75,96.8,98.62,1977744.0,77.92,78.68,77.26,78.56,11214292,334.19,336.1,329.1203,334.1399,590790.0,160.17,161.228,159.45,159.92,1429885,77.07,77.97,76.67,77.07,1873667,102.89,103.7099,101.665,102.73,20812215,54.91,55.39,54.54,55.05,28373356,110.56,110.58,105.85,107.65,15791922,32.98,33.44,32.5,32.88,8924669,35.86,36.12,35.49,35.64,23824021,32.18,32.245,31.93,32.18,24109857,98.63,99.32,97.465,98.31,1105793.0,201.4,201.9,200.05,201.43,90242524,12.2,12.34,11.5,11.525,1986323,70.39,70.81,69.5,70.49,1095516,116.72,117.89,116.21,116.6732,2240864.0
2016-01-06,98.15,98.64,97.52,98.26,1718947.0,77.12,78.485,76.97,77.372,10137759,326.72,331.9014,326.72,330.25,828216.0,158.36,159.8,157.63,158.46,1483637,75.72,77.33,75.63,76.31,2988654,101.13,103.77,100.9,102.96,22819251,54.26,54.4001,53.64,54.075,34676908,105.12,117.91,104.96,117.72,30219652,32.35,32.5,31.16,31.53,9523242,35.5,36.135,35.36,35.83,16082404,31.73,31.895,31.42,31.625,21515822,96.44,97.2,95.93,96.53,1302288.0,198.34,200.06,197.6,198.79,118917648,11.5,11.64,11.015,11.51,1776503,69.14,69.405,68.62,68.91,1337239,115.78,116.65,114.5,115.5,1717700.0
2016-01-07,96.9,97.33,95.37,95.79,2618294.0,73.29,75.5,71.54,72.77,24588201,320.6,325.65,312.61,315.78,929151.0,154.85,157.06,153.55,154.69,2873994,75.13,75.6,73.47,74.29,4058064,100.54,101.43,97.3,97.92,40525635,52.7,53.485,52.07,52.19,46974886,116.24,122.18,112.29,114.56,30648598,30.74,30.953,29.88,30.27,13562661,35.25,35.68,34.88,35.05,20215300,31.16,31.81,31.14,31.41,32898456,95.07,97.14,94.68,95.26,2135309.0,195.33,198.82,193.59,194.01,174230042,11.13,11.37,11.0,11.19,1572361,67.51,68.76,66.67,67.06,1751551,113.63,114.09,111.42,112.09,4077031.0
2016-01-08,95.99,96.4899,93.9,94.19,1423115.0,74.33,74.66,70.67,70.748,18155925,317.56,319.76,307.03,307.72,1207791.0,155.28,155.3,151.81,152.11,2414434,74.78,75.26,72.9,73.26,2910398,99.88,100.5,97.0311,97.33,31366486,52.37,53.28,52.15,52.33,42663701,116.39,117.72,111.1,111.39,15911089,30.64,30.7,29.565,29.63,8834225,35.14,35.28,34.61,34.65,19322322,31.55,31.625,30.92,30.98,27683408,95.68,96.64,94.17,94.48,1578407.0,195.19,195.85,191.58,191.89,157703921,11.25,11.54,11.2,11.315,546883,67.46,67.65,65.28,65.37,1734346,112.35,113.0,109.76,110.12,3308657.0
2016-01-11,94.73,95.0,93.84,94.4973,1182004.0,71.28,71.73,69.02,69.9001,15665909,309.07,310.0,304.37,308.24,973808.0,152.3,154.2324,142.93,144.5,1701868,73.74,73.83,71.86,73.16,2934140,97.91,98.6,95.39,97.5,27108875,52.51,52.85,51.46,52.3,31591260,112.26,116.79,111.2,114.96,19993189,29.66,29.89,29.15,29.68,9500667,34.75,35.12,34.52,34.94,16548422,31.15,31.2,30.64,31.06,35664883,94.84,95.72,93.73,94.47,1667573.0,193.01,193.41,189.82,192.08,150051532,11.43,11.87,11.4,11.81,1635419,65.7,65.96,64.34,65.0,1661640,110.51,110.62,108.1946,109.56,3709164.0
2016-01-12,95.11,95.18,93.78,94.5,1354622.0,71.44,72.77,71.0,72.665,12049356,312.42,314.6,307.59,313.67,802729.0,145.3,156.43,144.98,156.055,1632434,73.97,75.28,73.05,74.44,3404603,99.0,99.96,97.55,99.36,25342953,52.77,53.1,52.06,52.77,30132899,116.11,117.78,115.08,116.58,13597093,30.16,30.62,29.97,30.18,9844300,35.32,35.55,34.985,35.39,15456485,31.38,31.5,30.724,31.01,35834253,95.33,95.56,93.79,95.09,1032186.0,193.82,194.55,191.14,193.62,139523772,11.94,12.2251,11.71,12.07,2050915,65.73,66.82,65.16,66.7,2413384,110.53,113.13,110.05,112.27,3217654.0
2016-01-13,94.85,95.0699,92.1,92.15,1466381.0,72.77,73.239,70.22,70.33,10991624,315.6,318.43,303.62,304.38,884354.0,155.97,156.02,151.88,152.13,1580996,75.02,75.71,71.8,72.38,3648241,100.58,100.58,95.21,95.45,30254703,53.8,54.07,51.3038,51.66,58584868,114.19,114.48,104.53,106.57,22392821,30.41,30.61,29.23,29.27,9954077,35.19,35.4,33.87,34.07,26201322,31.09,31.28,30.27,30.39,31632707,95.98,96.24,93.01,93.05,1646575.0,194.45,194.86,188.38,188.84,183463525,12.06,12.17,11.08,11.61,1909556,66.97,67.76,64.705,64.87,1900290,112.41,113.035,108.93,109.19,2557983.0
2016-01-14,92.74,93.05,91.7,92.17,2002462.0,70.29,72.72,68.27,72.23,14189526,305.26,315.45,299.31,310.0,1049682.0,152.15,154.16,151.33,153.17,1613288,72.42,73.62,70.87,73.06,3729367,95.84,98.87,92.45,98.35,42639287,52.04,53.4163,51.57,53.06,42763965,105.65,109.25,101.21,107.06,21369792,28.69,29.26,27.82,28.67,12573777,34.19,35.09,34.01,34.8,16748928,30.39,31.42,30.39,31.1099,33785161,93.29,94.12,91.6,93.59,1347396.0,189.56,193.26,187.66,191.89,186907832,11.51,11.645,10.79,10.82,1516301,65.15,66.1552,64.35,65.57,1841674,108.74,111.8,107.51,110.7,3138830.0
2016-01-15,90.51,91.63,87.85,88.38,4410749.0,68.7,71.0,67.541,69.585,18429875,298.96,299.95,290.46,296.85,1558143.0,149.35,151.52,148.25,150.39,2105291,69.87,71.05,68.18,70.87,8302860,93.98,96.38,93.54,94.99,40213088,51.31,51.97,50.34,50.98,58436472,102.43,105.5,101.72,104.05,16624631,27.52,27.85,26.64,27.11,17727354,33.8,34.51,33.66,34.13,20950744,30.22,30.82,30.2,30.81,40892773,91.64,92.35,90.34,91.89,1441801.0,186.77,188.76,185.52,187.78,240958526,10.6599,10.8,10.1,10.27,1124344,63.85,65.489,63.57,64.94,2185637,109.08,110.65,107.791,109.16,4637076.0
2016-01-19,89.76,93.53,89.6,90.87,3301065.0,71.94,72.31,69.81,70.09,14404493,300.4,301.76,290.48,294.28,718627.0,151.79,152.0,149.58,150.43,1529126,71.86,72.19,69.9,70.81,6362976,96.49,97.42,93.92,95.26,27637665,51.53,51.68,50.06,50.56,37489768,106.39,110.14,105.55,107.8599,26502828,27.67,28.45,27.11,27.33,9682802,34.54,34.75,34.24,34.56,18450166,31.12,31.23,30.33,30.68,28282121,92.8,93.25,89.9,91.56,2485882.0,189.96,190.11,186.2,188.02,151482568,10.33,10.47,9.05,9.5,2660424,65.9,66.54,65.07,65.53,1658082,111.49,114.16,109.6,112.48,5725967.0
