,ACN,,PPG,,AMT,,NEE
Date,Close,Date,Close,Date,Close,Date,Close
7/14/2020 16:00,219.16,7/14/2020 16:00,111.72,7/14/2020 16:00,258.94,7/14/2020 16:00,262.55
7/15/2020 16:00,219.76,7/15/2020 16:00,115.62,7/15/2020 16:00,257.27,7/15/2020 16:00,259
7/16/2020 16:00,219.11,7/16/2020 16:00,115.26,7/16/2020 16:00,257.48,7/16/2020 16:00,268.38
7/17/2020 16:00,221.94,7/17/2020 16:00,111.88,7/17/2020 16:00,259.11,7/17/2020 16:00,275.38
7/20/2020 16:00,223.43,7/20/2020 16:00,109.39,7/20/2020 16:00,260.53,7/20/2020 16:00,274.33
7/21/2020 16:00,222.75,7/21/2020 16:00,110.16,7/21/2020 16:00,259.21,7/21/2020 16:00,276.33
7/22/2020 16:00,224.23,7/22/2020 16:00,111.68,7/22/2020 16:00,259.04,7/22/2020 16:00,280.42
7/23/2020 16:00,222.3,7/23/2020 16:00,110.83,7/23/2020 16:00,257.9,7/23/2020 16:00,280.97
7/24/2020 16:00,221.44,7/24/2020 16:00,110.56,7/24/2020 16:00,256.33,7/24/2020 16:00,280.25
7/27/2020 16:00,223.32,7/27/2020 16:00,110.23,7/27/2020 16:00,260.31,7/27/2020 16:00,277.63
7/28/2020 16:00,222.18,7/28/2020 16:00,108.58,7/28/2020 16:00,266.8,7/28/2020 16:00,280.04
7/29/2020 16:00,224.38,7/29/2020 16:00,110.41,7/29/2020 16:00,271.29,7/29/2020 16:00,281.44
7/30/2020 16:00,223.98,7/30/2020 16:00,108.2,7/30/2020 16:00,262.49,7/30/2020 16:00,282.34
7/31/2020 16:00,224.78,7/31/2020 16:00,107.65,7/31/2020 16:00,261.39,7/31/2020 16:00,280.7
8/3/2020 16:00,227.18,8/3/2020 16:00,107.38,8/3/2020 16:00,256.58,8/3/2020 16:00,277.59
8/4/2020 16:00,227.15,8/4/2020 16:00,107.79,8/4/2020 16:00,260.17,8/4/2020 16:00,285.05
8/5/2020 16:00,228.7,8/5/2020 16:00,111.66,8/5/2020 16:00,255.29,8/5/2020 16:00,283.78
8/6/2020 16:00,230.89,8/6/2020 16:00,111.44,8/6/2020 16:00,255.51,8/6/2020 16:00,282.81
8/7/2020 16:00,231.56,8/7/2020 16:00,113.71,8/7/2020 16:00,257.61,8/7/2020 16:00,287.78
8/10/2020 16:00,230.34,8/10/2020 16:00,115.74,8/10/2020 16:00,253.41,8/10/2020 16:00,283.64
8/11/2020 16:00,228.57,8/11/2020 16:00,120.89,8/11/2020 16:00,246.2,8/11/2020 16:00,277.79
8/12/2020 16:00,229.75,8/12/2020 16:00,120.99,8/12/2020 16:00,251.3,8/12/2020 16:00,284.59
8/13/2020 16:00,231.73,8/13/2020 16:00,118.81,8/13/2020 16:00,250.73,8/13/2020 16:00,284.4
8/14/2020 16:00,230.25,8/14/2020 16:00,118.98,8/14/2020 16:00,250.12,8/14/2020 16:00,280.5
8/17/2020 16:00,232.62,8/17/2020 16:00,118.92,8/17/2020 16:00,250.91,8/17/2020 16:00,282.99
8/18/2020 16:00,234.23,8/18/2020 16:00,118.69,8/18/2020 16:00,252.55,8/18/2020 16:00,283.05
8/19/2020 16:00,234.63,8/19/2020 16:00,118.64,8/19/2020 16:00,245.23,8/19/2020 16:00,282.34
8/20/2020 16:00,236.61,8/20/2020 16:00,118.24,8/20/2020 16:00,247.68,8/20/2020 16:00,282.11
8/21/2020 16:00,237.49,8/21/2020 16:00,118.23,8/21/2020 16:00,249.34,8/21/2020 16:00,282.41
8/24/2020 16:00,237.75,8/24/2020 16:00,121.08,8/24/2020 16:00,245.44,8/24/2020 16:00,282.63
8/25/2020 16:00,238.21,8/25/2020 16:00,119.82,8/25/2020 16:00,246.41,8/25/2020 16:00,281.31
8/26/2020 16:00,240.45,8/26/2020 16:00,119.95,8/26/2020 16:00,246.97,8/26/2020 16:00,279
8/27/2020 16:00,240.87,8/27/2020 16:00,120.79,8/27/2020 16:00,247.97,8/27/2020 16:00,278.88
8/28/2020 16:00,242.99,8/28/2020 16:00,122.12,8/28/2020 16:00,249.59,8/28/2020 16:00,279.55
8/31/2020 16:00,239.93,8/31/2020 16:00,120.4,8/31/2020 16:00,249.15,8/31/2020 16:00,279.17
9/1/2020 16:00,240.02,9/1/2020 16:00,124,9/1/2020 16:00,248.03,9/1/2020 16:00,277.13
9/2/2020 16:00,247.18,9/2/2020 16:00,125.98,9/2/2020 16:00,256.5,9/2/2020 16:00,288.26
9/3/2020 16:00,238.98,9/3/2020 16:00,122.79,9/3/2020 16:00,252.32,9/3/2020 16:00,280.59
9/4/2020 16:00,236.07,9/4/2020 16:00,122.61,9/4/2020 16:00,249.98,9/4/2020 16:00,277.32
9/8/2020 16:00,232.65,9/8/2020 16:00,120.99,9/8/2020 16:00,246.81,9/8/2020 16:00,277.91
9/9/2020 16:00,238.91,9/9/2020 16:00,125.34,9/9/2020 16:00,252.42,9/9/2020 16:00,282.37
9/10/2020 16:00,233.65,9/10/2020 16:00,125.74,9/10/2020 16:00,248.38,9/10/2020 16:00,276.91
9/11/2020 16:00,234.77,9/11/2020 16:00,127.1,9/11/2020 16:00,249.79,9/11/2020 16:00,278.15
9/14/2020 16:00,238.83,9/14/2020 16:00,130.21,9/14/2020 16:00,253.9,9/14/2020 16:00,281.92
9/15/2020 16:00,240.2,9/15/2020 16:00,129.92,9/15/2020 16:00,263.75,9/15/2020 16:00,295.7
9/16/2020 16:00,239.42,9/16/2020 16:00,129.04,9/16/2020 16:00,263.29,9/16/2020 16:00,280.35
9/17/2020 16:00,236.82,9/17/2020 16:00,129.25,9/17/2020 16:00,250.73,9/17/2020 16:00,279.52
9/18/2020 16:00,236.18,9/18/2020 16:00,125.77,9/18/2020 16:00,245.5,9/18/2020 16:00,276.92
9/21/2020 16:00,233.91,9/21/2020 16:00,120.08,9/21/2020 16:00,240.97,9/21/2020 16:00,276.2
9/22/2020 16:00,236.92,9/22/2020 16:00,120.82,9/22/2020 16:00,241.94,9/22/2020 16:00,278.06
9/23/2020 16:00,230.65,9/23/2020 16:00,118.32,9/23/2020 16:00,235.71,9/23/2020 16:00,273.31
9/24/2020 16:00,214.42,9/24/2020 16:00,118.95,9/24/2020 16:00,236.18,9/24/2020 16:00,277.54
9/25/2020 16:00,214.63,9/25/2020 16:00,120.25,9/25/2020 16:00,239.81,9/25/2020 16:00,281.82
9/28/2020 16:00,222.78,9/28/2020 16:00,121.74,9/28/2020 16:00,240,9/28/2020 16:00,284.14
9/29/2020 16:00,224.08,9/29/2020 16:00,120.33,9/29/2020 16:00,240.12,9/29/2020 16:00,283.12
9/30/2020 16:00,225.99,9/30/2020 16:00,122.08,9/30/2020 16:00,241.73,9/30/2020 16:00,277.56
10/1/2020 16:00,225.18,10/1/2020 16:00,121.78,10/1/2020 16:00,242.15,10/1/2020 16:00,282.76
