,VZ,,MCD,,SBUX,,CLX,,COST,,PSX,,BLK,,TROW,,JNJ,,UNH,,MMM,,UPS
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
10/1/2015 16:00,42.96,3/3/2015 16:00,116.07,10/1/2015 16:00,57.48,10/1/2015 16:00,115.38,10/1/2015 16:00,144.56,10/1/2015 16:00,77.93,10/1/2015 16:00,295.92,10/1/2015 16:00,68.59,10/1/2015 16:00,93.17,10/1/2015 16:00,116.61,10/1/2015 16:00,140.8,10/1/2015 16:00,98.58
10/2/2015 16:00,42.84,3/4/2015 16:00,114.76,10/2/2015 16:00,58.08,10/2/2015 16:00,116.93,10/2/2015 16:00,145.86,10/2/2015 16:00,79.48,10/2/2015 16:00,303.36,10/2/2015 16:00,68.74,10/2/2015 16:00,93.93,10/2/2015 16:00,118.83,10/2/2015 16:00,143.2,10/2/2015 16:00,99.38
10/5/2015 16:00,44,3/5/2015 16:00,115.91,10/5/2015 16:00,59.04,10/5/2015 16:00,118.38,10/5/2015 16:00,148.07,10/5/2015 16:00,81.82,10/5/2015 16:00,313.61,10/5/2015 16:00,70.75,10/5/2015 16:00,94.76,10/5/2015 16:00,119.65,10/5/2015 16:00,146.32,10/5/2015 16:00,101.53
10/6/2015 16:00,44.06,3/6/2015 16:00,114.45,10/6/2015 16:00,58.69,10/6/2015 16:00,118.35,10/6/2015 16:00,148.41,10/6/2015 16:00,82.58,10/6/2015 16:00,312.73,10/6/2015 16:00,70.63,10/6/2015 16:00,93.42,10/6/2015 16:00,116.05,10/6/2015 16:00,145.79,10/6/2015 16:00,101.43
10/7/2015 16:00,43.85,3/9/2015 16:00,115.25,10/7/2015 16:00,58.78,10/7/2015 16:00,119,10/7/2015 16:00,147.96,10/7/2015 16:00,83.24,10/7/2015 16:00,320.64,10/7/2015 16:00,71.98,10/7/2015 16:00,94.98,10/7/2015 16:00,116.43,10/7/2015 16:00,147.54,10/7/2015 16:00,102.24
10/8/2015 16:00,44.23,3/10/2015 16:00,112.56,10/8/2015 16:00,59.46,10/8/2015 16:00,120.18,10/8/2015 16:00,151.66,10/8/2015 16:00,84.58,10/8/2015 16:00,318.57,10/8/2015 16:00,72.04,10/8/2015 16:00,95.08,10/8/2015 16:00,116.08,10/8/2015 16:00,149.48,10/8/2015 16:00,103.38
10/9/2015 16:00,44.16,3/11/2015 16:00,113.07,10/9/2015 16:00,60.07,10/9/2015 16:00,120.52,10/9/2015 16:00,153.97,10/9/2015 16:00,83.52,10/9/2015 16:00,318.11,10/9/2015 16:00,71.5,10/9/2015 16:00,95.37,10/9/2015 16:00,119.27,10/9/2015 16:00,149.9,10/9/2015 16:00,103.68
10/12/2015 16:00,44.3,3/12/2015 16:00,116.1,10/12/2015 16:00,60.54,10/12/2015 16:00,120.75,10/12/2015 16:00,153.63,10/12/2015 16:00,83.87,10/12/2015 16:00,315.66,10/12/2015 16:00,70.24,10/12/2015 16:00,95.99,10/12/2015 16:00,122.51,10/12/2015 16:00,150.06,10/12/2015 16:00,104.41
10/13/2015 16:00,44.36,3/13/2015 16:00,114.82,10/13/2015 16:00,60.16,10/13/2015 16:00,120.55,10/13/2015 16:00,152.28,10/13/2015 16:00,82.16,10/13/2015 16:00,315.12,10/13/2015 16:00,69.15,10/13/2015 16:00,95.45,10/13/2015 16:00,123.99,10/13/2015 16:00,149.11,10/13/2015 16:00,103.3
10/14/2015 16:00,43.99,3/16/2015 16:00,116.5,10/14/2015 16:00,58.82,10/14/2015 16:00,120.25,10/14/2015 16:00,149.84,10/14/2015 16:00,82.47,10/14/2015 16:00,322.47,10/14/2015 16:00,68.98,10/14/2015 16:00,94.53,10/14/2015 16:00,122.07,10/14/2015 16:00,148.32,10/14/2015 16:00,102.86
10/15/2015 16:00,44.67,3/17/2015 16:00,115.58,10/15/2015 16:00,59.69,10/15/2015 16:00,120.18,10/15/2015 16:00,151.77,10/15/2015 16:00,83.49,10/15/2015 16:00,325.63,10/15/2015 16:00,70.2,10/15/2015 16:00,97.15,10/15/2015 16:00,120.17,10/15/2015 16:00,149.19,10/15/2015 16:00,103.8
10/16/2015 16:00,44.7,3/18/2015 16:00,116.08,10/16/2015 16:00,59.93,10/16/2015 16:00,121.92,10/16/2015 16:00,152.06,10/16/2015 16:00,84.12,10/16/2015 16:00,330.83,10/16/2015 16:00,70.8,10/16/2015 16:00,98.24,10/16/2015 16:00,119.98,10/16/2015 16:00,148.7,10/16/2015 16:00,103.95
10/19/2015 16:00,44.7,3/19/2015 16:00,115.16,10/19/2015 16:00,60.97,10/19/2015 16:00,121.72,10/19/2015 16:00,153.22,10/19/2015 16:00,81.62,10/19/2015 16:00,327.88,10/19/2015 16:00,70.26,10/19/2015 16:00,97.94,10/19/2015 16:00,120.73,10/19/2015 16:00,148,10/19/2015 16:00,104.26
10/20/2015 16:00,45.24,3/20/2015 16:00,117.49,10/20/2015 16:00,60.88,10/20/2015 16:00,122.08,10/20/2015 16:00,154.56,10/20/2015 16:00,81.6,10/20/2015 16:00,327.15,10/20/2015 16:00,70.55,10/20/2015 16:00,97.59,10/20/2015 16:00,120.42,10/20/2015 16:00,149.11,10/20/2015 16:00,104.56
10/21/2015 16:00,44.86,3/23/2015 16:00,116.07,10/21/2015 16:00,60.53,10/21/2015 16:00,122.06,10/21/2015 16:00,155.21,10/21/2015 16:00,80.5,10/21/2015 16:00,321.98,10/21/2015 16:00,69.64,10/21/2015 16:00,97.63,10/21/2015 16:00,118.11,10/21/2015 16:00,149.82,10/21/2015 16:00,105.26
10/22/2015 16:00,45.89,3/24/2015 16:00,116.15,10/22/2015 16:00,61.49,10/22/2015 16:00,123.6,10/22/2015 16:00,158.15,10/22/2015 16:00,82.61,10/22/2015 16:00,335.35,10/22/2015 16:00,74.25,10/22/2015 16:00,99.53,10/22/2015 16:00,113.81,10/22/2015 16:00,156,10/22/2015 16:00,106.43
10/23/2015 16:00,46.16,3/25/2015 16:00,113.68,10/23/2015 16:00,62.61,10/23/2015 16:00,123.25,10/23/2015 16:00,155.74,10/23/2015 16:00,83.35,10/23/2015 16:00,340.79,10/23/2015 16:00,74.39,10/23/2015 16:00,100.31,10/23/2015 16:00,115.92,10/23/2015 16:00,155.79,10/23/2015 16:00,106.8
10/26/2015 16:00,46.36,3/26/2015 16:00,112.37,10/26/2015 16:00,63.43,10/26/2015 16:00,122.04,10/26/2015 16:00,156.73,10/26/2015 16:00,83,10/26/2015 16:00,337.02,10/26/2015 16:00,74.19,10/26/2015 16:00,99.94,10/26/2015 16:00,116.53,10/26/2015 16:00,156.54,10/26/2015 16:00,106.18
10/27/2015 16:00,46.17,3/27/2015 16:00,113.86,10/27/2015 16:00,62.71,10/27/2015 16:00,121.89,10/27/2015 16:00,157.76,10/27/2015 16:00,83.56,10/27/2015 16:00,335.57,10/27/2015 16:00,73.95,10/27/2015 16:00,100.19,10/27/2015 16:00,119.37,10/27/2015 16:00,156.73,10/27/2015 16:00,103.1
10/28/2015 16:00,46.48,3/30/2015 16:00,114.63,10/28/2015 16:00,63.51,10/28/2015 16:00,122.63,10/28/2015 16:00,157.76,10/28/2015 16:00,84.89,10/28/2015 16:00,346.32,10/28/2015 16:00,75.24,10/28/2015 16:00,100.48,10/28/2015 16:00,119.78,10/28/2015 16:00,158.08,10/28/2015 16:00,102.63
10/29/2015 16:00,46.4,3/31/2015 16:00,113.61,10/29/2015 16:00,62.5,10/29/2015 16:00,122.72,10/29/2015 16:00,158.28,10/29/2015 16:00,86.43,10/29/2015 16:00,349.86,10/29/2015 16:00,75.38,10/29/2015 16:00,101.37,10/29/2015 16:00,119.71,10/29/2015 16:00,157.61,10/29/2015 16:00,103.47
10/30/2015 16:00,46.88,4/1/2015 16:00,113.13,10/30/2015 16:00,62.57,10/30/2015 16:00,121.94,10/30/2015 16:00,158.12,10/30/2015 16:00,89.05,10/30/2015 16:00,351.97,10/30/2015 16:00,75.62,10/30/2015 16:00,101.03,10/30/2015 16:00,117.78,10/30/2015 16:00,157.21,10/30/2015 16:00,103.02
11/2/2015 16:00,46.78,4/2/2015 16:00,114.54,11/2/2015 16:00,62.24,11/2/2015 16:00,125.7,11/2/2015 16:00,159.15,11/2/2015 16:00,90.6,11/2/2015 16:00,354.57,11/2/2015 16:00,76.19,11/2/2015 16:00,102.17,11/2/2015 16:00,118.69,11/2/2015 16:00,159.92,11/2/2015 16:00,104.57
11/3/2015 16:00,46.45,4/6/2015 16:00,114.95,11/3/2015 16:00,62.8,11/3/2015 16:00,124.63,11/3/2015 16:00,158.8,11/3/2015 16:00,92.67,11/3/2015 16:00,358.47,11/3/2015 16:00,76.68,11/3/2015 16:00,101.96,11/3/2015 16:00,117.66,11/3/2015 16:00,158.75,11/3/2015 16:00,104.48
11/4/2015 16:00,46.14,4/7/2015 16:00,114.3,11/4/2015 16:00,61.96,11/4/2015 16:00,124.2,11/4/2015 16:00,157.15,11/4/2015 16:00,93.33,11/4/2015 16:00,356.49,11/4/2015 16:00,76.19,11/4/2015 16:00,101.94,11/4/2015 16:00,114.64,11/4/2015 16:00,158.91,11/4/2015 16:00,104
11/5/2015 16:00,46.2,4/8/2015 16:00,115.59,11/5/2015 16:00,62.28,11/5/2015 16:00,124.22,11/5/2015 16:00,156.27,11/5/2015 16:00,93.68,11/5/2015 16:00,357.3,11/5/2015 16:00,76.67,11/5/2015 16:00,102.33,11/5/2015 16:00,116.23,11/5/2015 16:00,158.99,11/5/2015 16:00,104.23
11/6/2015 16:00,45.78,4/9/2015 16:00,114.57,11/6/2015 16:00,61.97,11/6/2015 16:00,122.28,11/6/2015 16:00,157.55,11/6/2015 16:00,92.75,11/6/2015 16:00,356.7,11/6/2015 16:00,76.93,11/6/2015 16:00,101.92,11/6/2015 16:00,114.81,11/6/2015 16:00,159.26,11/6/2015 16:00,104.99
11/9/2015 16:00,45.3,4/10/2015 16:00,115.24,11/9/2015 16:00,61.34,11/9/2015 16:00,121.88,11/9/2015 16:00,155.16,11/9/2015 16:00,92.01,11/9/2015 16:00,349.57,11/9/2015 16:00,75.53,11/9/2015 16:00,100.84,11/9/2015 16:00,114.26,11/9/2015 16:00,157.47,11/9/2015 16:00,104.01
11/10/2015 16:00,45.1,4/13/2015 16:00,114.44,11/10/2015 16:00,62.18,11/10/2015 16:00,122.28,11/10/2015 16:00,156.41,11/10/2015 16:00,92.1,11/10/2015 16:00,350.27,11/10/2015 16:00,76.16,11/10/2015 16:00,101.45,11/10/2015 16:00,115.89,11/10/2015 16:00,157.59,11/10/2015 16:00,104.34
11/11/2015 16:00,45.32,4/14/2015 16:00,114.05,11/11/2015 16:00,61.87,11/11/2015 16:00,123.42,11/11/2015 16:00,156.39,11/11/2015 16:00,90.59,11/11/2015 16:00,350.5,11/11/2015 16:00,76.38,11/11/2015 16:00,101.86,11/11/2015 16:00,114.54,11/11/2015 16:00,159.05,11/11/2015 16:00,104.8
11/12/2015 16:00,44.83,4/15/2015 16:00,113.45,11/12/2015 16:00,61.07,11/12/2015 16:00,121.83,11/12/2015 16:00,156,11/12/2015 16:00,89.24,11/12/2015 16:00,345.74,11/12/2015 16:00,75.25,11/12/2015 16:00,100.27,11/12/2015 16:00,112.82,11/12/2015 16:00,156.3,11/12/2015 16:00,102.6
11/13/2015 16:00,44.23,4/16/2015 16:00,113.37,11/13/2015 16:00,59.74,11/13/2015 16:00,120.74,11/13/2015 16:00,153.67,11/13/2015 16:00,89.08,11/13/2015 16:00,343.25,11/13/2015 16:00,74.36,11/13/2015 16:00,99.88,11/13/2015 16:00,111.41,11/13/2015 16:00,155.65,11/13/2015 16:00,101.78
11/16/2015 16:00,45.04,4/17/2015 16:00,112.1,11/16/2015 16:00,60.68,11/16/2015 16:00,121.87,11/16/2015 16:00,156.45,11/16/2015 16:00,91.07,11/16/2015 16:00,352.33,11/16/2015 16:00,75.34,11/16/2015 16:00,101.22,11/16/2015 16:00,113.82,11/16/2015 16:00,158.21,11/16/2015 16:00,103.14
11/17/2015 16:00,45.08,4/20/2015 16:00,112.86,11/17/2015 16:00,60.55,11/17/2015 16:00,121.78,11/17/2015 16:00,158.89,11/17/2015 16:00,91.12,11/17/2015 16:00,353.42,11/17/2015 16:00,74.74,11/17/2015 16:00,101.5,11/17/2015 16:00,114.39,11/17/2015 16:00,157.03,11/17/2015 16:00,103.14
11/18/2015 16:00,45.38,4/21/2015 16:00,113.17,11/18/2015 16:00,61.8,11/18/2015 16:00,123.59,11/18/2015 16:00,161.25,11/18/2015 16:00,92.54,11/18/2015 16:00,360.63,11/18/2015 16:00,76.49,11/18/2015 16:00,102.67,11/18/2015 16:00,117.25,11/18/2015 16:00,157.39,11/18/2015 16:00,103.68
11/19/2015 16:00,45.76,4/22/2015 16:00,112.99,11/19/2015 16:00,61.46,11/19/2015 16:00,124.32,11/19/2015 16:00,162.83,11/19/2015 16:00,92.38,11/19/2015 16:00,359.09,11/19/2015 16:00,76.38,11/19/2015 16:00,102.49,11/19/2015 16:00,110.63,11/19/2015 16:00,158.38,11/19/2015 16:00,104.1
11/20/2015 16:00,45.39,4/23/2015 16:00,113.96,11/20/2015 16:00,61.99,11/20/2015 16:00,123.85,11/20/2015 16:00,163.1,11/20/2015 16:00,91.67,11/20/2015 16:00,362.46,11/20/2015 16:00,76.37,11/20/2015 16:00,102.48,11/20/2015 16:00,112.97,11/20/2015 16:00,158.95,11/20/2015 16:00,104.1
11/23/2015 16:00,44.99,4/24/2015 16:00,113.7,11/23/2015 16:00,62.64,11/23/2015 16:00,125.36,11/23/2015 16:00,163.45,11/23/2015 16:00,92.17,11/23/2015 16:00,363.25,11/23/2015 16:00,76.15,11/23/2015 16:00,102.77,11/23/2015 16:00,112.16,11/23/2015 16:00,158.65,11/23/2015 16:00,103.59
11/24/2015 16:00,45.19,4/27/2015 16:00,111.39,11/24/2015 16:00,61.96,11/24/2015 16:00,124.79,11/24/2015 16:00,162.19,11/24/2015 16:00,93.13,11/24/2015 16:00,356.81,11/24/2015 16:00,75.62,11/24/2015 16:00,102.04,11/24/2015 16:00,113.19,11/24/2015 16:00,157.75,11/24/2015 16:00,103.4
11/25/2015 16:00,44.92,4/28/2015 16:00,110.58,11/25/2015 16:00,62.19,11/25/2015 16:00,125.31,11/25/2015 16:00,162.39,11/25/2015 16:00,92.77,11/25/2015 16:00,360.62,11/25/2015 16:00,76.01,11/25/2015 16:00,101.96,11/25/2015 16:00,114.41,11/25/2015 16:00,157.63,11/25/2015 16:00,103.49
11/27/2015 16:00,45.23,4/29/2015 16:00,108.71,11/27/2015 16:00,62.18,11/27/2015 16:00,125.51,11/27/2015 16:00,163.58,11/27/2015 16:00,92.76,11/27/2015 16:00,358.39,11/27/2015 16:00,75.95,11/27/2015 16:00,102.37,11/27/2015 16:00,114.34,11/27/2015 16:00,157.99,11/27/2015 16:00,104.18
11/30/2015 16:00,45.45,4/30/2015 16:00,106.98,11/30/2015 16:00,61.39,11/30/2015 16:00,124.3,11/30/2015 16:00,161.42,11/30/2015 16:00,91.53,11/30/2015 16:00,363.72,11/30/2015 16:00,76.15,11/30/2015 16:00,101.24,11/30/2015 16:00,112.71,11/30/2015 16:00,156.58,11/30/2015 16:00,103.01
12/1/2015 16:00,45.58,5/1/2015 16:00,109.55,12/1/2015 16:00,61.37,12/1/2015 16:00,126.64,12/1/2015 16:00,161.29,12/1/2015 16:00,92.67,12/1/2015 16:00,361.73,12/1/2015 16:00,76.49,12/1/2015 16:00,102.36,12/1/2015 16:00,116.26,12/1/2015 16:00,156.9,12/1/2015 16:00,104.38
12/2/2015 16:00,44.92,5/4/2015 16:00,110.06,12/2/2015 16:00,61.22,12/2/2015 16:00,126.35,12/2/2015 16:00,161.09,12/2/2015 16:00,90.44,12/2/2015 16:00,358.92,12/2/2015 16:00,75.54,12/2/2015 16:00,102.05,12/2/2015 16:00,117.64,12/2/2015 16:00,155.7,12/2/2015 16:00,103.3
12/3/2015 16:00,44.56,5/5/2015 16:00,108.06,12/3/2015 16:00,59.55,12/3/2015 16:00,126.05,12/3/2015 16:00,163.67,12/3/2015 16:00,88.57,12/3/2015 16:00,352,12/3/2015 16:00,75.17,12/3/2015 16:00,100.79,12/3/2015 16:00,115,12/3/2015 16:00,154.38,12/3/2015 16:00,102.29
12/4/2015 16:00,45.71,5/6/2015 16:00,108.31,12/4/2015 16:00,61.75,12/4/2015 16:00,128.78,12/4/2015 16:00,166.8,12/4/2015 16:00,90.2,12/4/2015 16:00,360.76,12/4/2015 16:00,76.03,12/4/2015 16:00,102.95,12/4/2015 16:00,117.74,12/4/2015 16:00,158.22,12/4/2015 16:00,103.26
12/7/2015 16:00,46.06,5/7/2015 16:00,110.04,12/7/2015 16:00,61.89,12/7/2015 16:00,129.33,12/7/2015 16:00,167.12,12/7/2015 16:00,86.69,12/7/2015 16:00,355.47,12/7/2015 16:00,75.16,12/7/2015 16:00,103.32,12/7/2015 16:00,115.91,12/7/2015 16:00,157.75,12/7/2015 16:00,102.45
12/8/2015 16:00,45.7,5/8/2015 16:00,112.47,12/8/2015 16:00,62.16,12/8/2015 16:00,129.72,12/8/2015 16:00,168.87,12/8/2015 16:00,86.45,12/8/2015 16:00,348.94,12/8/2015 16:00,74.11,12/8/2015 16:00,102.42,12/8/2015 16:00,115.88,12/8/2015 16:00,156.79,12/8/2015 16:00,101.16
12/9/2015 16:00,45.36,5/11/2015 16:00,111.9,12/9/2015 16:00,61.18,12/9/2015 16:00,127.73,12/9/2015 16:00,159.72,12/9/2015 16:00,86.09,12/9/2015 16:00,344.57,12/9/2015 16:00,73.17,12/9/2015 16:00,102.15,12/9/2015 16:00,115.05,12/9/2015 16:00,156.05,12/9/2015 16:00,100.46
12/10/2015 16:00,45.32,5/12/2015 16:00,112.52,12/10/2015 16:00,61.87,12/10/2015 16:00,126.87,12/10/2015 16:00,161.86,12/10/2015 16:00,86.75,12/10/2015 16:00,345.25,12/10/2015 16:00,73.34,12/10/2015 16:00,102.64,12/10/2015 16:00,116.21,12/10/2015 16:00,157.52,12/10/2015 16:00,100.45
12/11/2015 16:00,44.82,5/13/2015 16:00,111.19,12/11/2015 16:00,59.82,12/11/2015 16:00,125.92,12/11/2015 16:00,160.02,12/11/2015 16:00,82.78,12/11/2015 16:00,322.78,12/11/2015 16:00,70.8,12/11/2015 16:00,101.68,12/11/2015 16:00,115.98,12/11/2015 16:00,154.83,12/11/2015 16:00,97.46
12/14/2015 16:00,45.45,5/14/2015 16:00,111.94,12/14/2015 16:00,59.92,12/14/2015 16:00,126.47,12/14/2015 16:00,161.84,12/14/2015 16:00,81.4,12/14/2015 16:00,319.6,12/14/2015 16:00,70.04,12/14/2015 16:00,102.15,12/14/2015 16:00,115.85,12/14/2015 16:00,157.63,12/14/2015 16:00,97.87
12/15/2015 16:00,45.55,5/15/2015 16:00,113.35,12/15/2015 16:00,59.98,12/15/2015 16:00,129.14,12/15/2015 16:00,161.29,12/15/2015 16:00,81.78,12/15/2015 16:00,329.54,12/15/2015 16:00,71.37,12/15/2015 16:00,104.13,12/15/2015 16:00,117.61,12/15/2015 16:00,148.13,12/15/2015 16:00,98.9
12/16/2015 16:00,46.51,5/18/2015 16:00,114.33,12/16/2015 16:00,60.35,12/16/2015 16:00,131.12,12/16/2015 16:00,162.76,12/16/2015 16:00,83.06,12/16/2015 16:00,331,12/16/2015 16:00,72.13,12/16/2015 16:00,105.25,12/16/2015 16:00,118.83,12/16/2015 16:00,149.95,12/16/2015 16:00,100.51
12/17/2015 16:00,46.1,5/19/2015 16:00,112.34,12/17/2015 16:00,59.52,12/17/2015 16:00,131.34,12/17/2015 16:00,160.68,12/17/2015 16:00,81.78,12/17/2015 16:00,330.21,12/17/2015 16:00,71.01,12/17/2015 16:00,103.64,12/17/2015 16:00,119.22,12/17/2015 16:00,148.85,12/17/2015 16:00,100
12/18/2015 16:00,45.56,5/20/2015 16:00,112.1,12/18/2015 16:00,58.62,12/18/2015 16:00,127.05,12/18/2015 16:00,157.7,12/18/2015 16:00,80.56,12/18/2015 16:00,321.47,12/18/2015 16:00,69.91,12/18/2015 16:00,101.95,12/18/2015 16:00,115.82,12/18/2015 16:00,146.92,12/18/2015 16:00,98
12/21/2015 16:00,45.9,5/21/2015 16:00,112.01,12/21/2015 16:00,59.54,12/21/2015 16:00,127.65,12/21/2015 16:00,159.39,12/21/2015 16:00,80.62,12/21/2015 16:00,325.55,12/21/2015 16:00,70.39,12/21/2015 16:00,101.58,12/21/2015 16:00,117.41,12/21/2015 16:00,147.48,12/21/2015 16:00,96.89
12/22/2015 16:00,46.34,5/22/2015 16:00,112.16,12/22/2015 16:00,59.99,12/22/2015 16:00,127.59,12/22/2015 16:00,161.23,12/22/2015 16:00,81.7,12/22/2015 16:00,330.51,12/22/2015 16:00,70.91,12/22/2015 16:00,102.71,12/22/2015 16:00,117.44,12/22/2015 16:00,148.97,12/22/2015 16:00,98
12/23/2015 16:00,46.95,5/26/2015 16:00,110.93,12/23/2015 16:00,60.34,12/23/2015 16:00,128.18,12/23/2015 16:00,161.71,12/23/2015 16:00,84.8,12/23/2015 16:00,339.64,12/23/2015 16:00,72.75,12/23/2015 16:00,103.49,12/23/2015 16:00,118.69,12/23/2015 16:00,151.16,12/23/2015 16:00,97.24
12/24/2015 16:00,46.71,5/27/2015 16:00,112.16,12/24/2015 16:00,60.32,12/24/2015 16:00,127.86,12/24/2015 16:00,161.75,12/24/2015 16:00,84.36,12/24/2015 16:00,337.4,12/24/2015 16:00,72.45,12/24/2015 16:00,103.72,12/24/2015 16:00,118.34,12/24/2015 16:00,151.19,12/24/2015 16:00,97.34
12/28/2015 16:00,46.75,5/28/2015 16:00,112.19,12/28/2015 16:00,60.19,12/28/2015 16:00,128.06,12/28/2015 16:00,161.16,12/28/2015 16:00,82.46,12/28/2015 16:00,342.45,12/28/2015 16:00,72.72,12/28/2015 16:00,103.22,12/28/2015 16:00,118.33,12/28/2015 16:00,151.22,12/28/2015 16:00,97
12/29/2015 16:00,47.21,5/29/2015 16:00,111.42,12/29/2015 16:00,61.13,12/29/2015 16:00,129.01,12/29/2015 16:00,162.66,12/29/2015 16:00,82.77,12/29/2015 16:00,343.6,12/29/2015 16:00,73.1,12/29/2015 16:00,104.03,12/29/2015 16:00,119.82,12/29/2015 16:00,152.89,12/29/2015 16:00,97.72
12/30/2015 16:00,46.77,6/1/2015 16:00,111.67,12/30/2015 16:00,60.82,12/30/2015 16:00,128.2,12/30/2015 16:00,162.71,12/30/2015 16:00,82.01,12/30/2015 16:00,342.05,12/30/2015 16:00,72.09,12/30/2015 16:00,103.78,12/30/2015 16:00,118.92,12/30/2015 16:00,151.91,12/30/2015 16:00,97.09
12/31/2015 16:00,46.22,6/2/2015 16:00,111.59,12/31/2015 16:00,60.03,12/31/2015 16:00,126.83,12/31/2015 16:00,161.5,12/31/2015 16:00,81.8,12/31/2015 16:00,340.52,12/31/2015 16:00,71.49,12/31/2015 16:00,102.72,12/31/2015 16:00,117.64,12/31/2015 16:00,150.64,12/31/2015 16:00,96.23
1/4/2016 16:00,45.87,6/3/2015 16:00,113.16,1/4/2016 16:00,58.26,1/4/2016 16:00,125.28,1/4/2016 16:00,159.54,1/4/2016 16:00,80.08,1/4/2016 16:00,333.1,1/4/2016 16:00,70.19,1/4/2016 16:00,100.48,1/4/2016 16:00,116.46,1/4/2016 16:00,146.82,1/4/2016 16:00,94.84
1/5/2016 16:00,46.5,6/4/2015 16:00,111.46,1/5/2016 16:00,58.65,1/5/2016 16:00,127.09,1/5/2016 16:00,159.93,1/5/2016 16:00,81,1/5/2016 16:00,333.96,1/5/2016 16:00,70.48,1/5/2016 16:00,100.9,1/5/2016 16:00,116.68,1/5/2016 16:00,147.46,1/5/2016 16:00,95.78
1/6/2016 16:00,45.52,6/5/2015 16:00,110.37,1/6/2016 16:00,58.13,1/6/2016 16:00,127.03,1/6/2016 16:00,158.45,1/6/2016 16:00,78.03,1/6/2016 16:00,330.16,1/6/2016 16:00,68.9,1/6/2016 16:00,100.39,1/6/2016 16:00,115.49,1/6/2016 16:00,144.49,1/6/2016 16:00,94.42
1/7/2016 16:00,45.27,6/8/2015 16:00,109.93,1/7/2016 16:00,56.69,1/7/2016 16:00,125.64,1/7/2016 16:00,154.82,1/7/2016 16:00,76.45,1/7/2016 16:00,315.73,1/7/2016 16:00,67.06,1/7/2016 16:00,99.22,1/7/2016 16:00,112.09,1/7/2016 16:00,140.97,1/7/2016 16:00,92.6
1/8/2016 16:00,44.83,6/9/2015 16:00,109.53,1/8/2016 16:00,56.63,1/8/2016 16:00,126.18,1/8/2016 16:00,152.11,1/8/2016 16:00,75.21,1/8/2016 16:00,307.78,1/8/2016 16:00,65.36,1/8/2016 16:00,98.16,1/8/2016 16:00,110.16,1/8/2016 16:00,140.49,1/8/2016 16:00,91.39
1/11/2016 16:00,45.09,6/10/2015 16:00,110.98,1/11/2016 16:00,57.82,1/11/2016 16:00,127.68,1/11/2016 16:00,154.72,1/11/2016 16:00,76.18,1/11/2016 16:00,308.32,1/11/2016 16:00,65.01,1/11/2016 16:00,97.57,1/11/2016 16:00,109.58,1/11/2016 16:00,140.46,1/11/2016 16:00,91.66
1/12/2016 16:00,44.93,6/11/2015 16:00,111.29,1/12/2016 16:00,59.46,1/12/2016 16:00,128.4,1/12/2016 16:00,156.06,1/12/2016 16:00,77.82,1/12/2016 16:00,313.59,1/12/2016 16:00,66.71,1/12/2016 16:00,98.24,1/12/2016 16:00,112.26,1/12/2016 16:00,140.86,1/12/2016 16:00,93
1/13/2016 16:00,44.15,6/12/2015 16:00,110.6,1/13/2016 16:00,57.87,1/13/2016 16:00,128.11,1/13/2016 16:00,152.12,1/13/2016 16:00,75.25,1/13/2016 16:00,304.61,1/13/2016 16:00,64.87,1/13/2016 16:00,97.02,1/13/2016 16:00,109.23,1/13/2016 16:00,138.72,1/13/2016 16:00,90.61
1/14/2016 16:00,44.87,6/15/2015 16:00,110.01,1/14/2016 16:00,58.98,1/14/2016 16:00,127.32,1/14/2016 16:00,153.18,1/14/2016 16:00,79.28,1/14/2016 16:00,310,1/14/2016 16:00,65.58,1/14/2016 16:00,98.89,1/14/2016 16:00,110.76,1/14/2016 16:00,141.18,1/14/2016 16:00,91.15
1/15/2016 16:00,44.43,6/16/2015 16:00,110.23,1/15/2016 16:00,58,1/15/2016 16:00,126.86,1/15/2016 16:00,150.39,1/15/2016 16:00,78.47,1/15/2016 16:00,296.58,1/15/2016 16:00,64.95,1/15/2016 16:00,97,1/15/2016 16:00,109.27,1/15/2016 16:00,138.69,1/15/2016 16:00,90.04
1/19/2016 16:00,44.87,6/17/2015 16:00,110.47,1/19/2016 16:00,58.55,1/19/2016 16:00,127.64,1/19/2016 16:00,150.47,1/19/2016 16:00,78.67,1/19/2016 16:00,294,1/19/2016 16:00,65.56,1/19/2016 16:00,97.5,1/19/2016 16:00,112.58,1/19/2016 16:00,138.39,1/19/2016 16:00,90.35
1/20/2016 16:00,44.42,6/18/2015 16:00,111.85,1/20/2016 16:00,56.92,1/20/2016 16:00,125.39,1/20/2016 16:00,148.82,1/20/2016 16:00,76.93,1/20/2016 16:00,292,1/20/2016 16:00,65.09,1/20/2016 16:00,95.75,1/20/2016 16:00,114.79,1/20/2016 16:00,136.96,1/20/2016 16:00,88.7
1/21/2016 16:00,45.87,6/19/2015 16:00,112.43,1/21/2016 16:00,59.03,1/21/2016 16:00,125.89,1/21/2016 16:00,150.38,1/21/2016 16:00,76.04,1/21/2016 16:00,289.9,1/21/2016 16:00,65.56,1/21/2016 16:00,95.94,1/21/2016 16:00,113.5,1/21/2016 16:00,137.76,1/21/2016 16:00,89.07
