Date,BABA,PFE,NFLX,CRM,GD
2016-01-29,67.029999,25.542099,91.839996,68.059998,121.57271599999999
2016-02-01,67.029999,25.274025,94.089996,68.440002,121.43638600000001
2016-02-02,65.089996,25.248894,91.489998,64.519997,121.354607
2016-02-03,63.439999,25.105055,90.739998,65.339996,121.59091200000002
2016-02-04,64.860001,24.538139,89.709999,67.199997,123.00864399999999
2016-02-05,62.639998999999996,24.563519,82.790001,58.509997999999996,121.96352399999999
2016-02-08,61.099998,24.165831,83.32,54.049999,120.20041699999999
2016-02-09,61.389998999999996,24.622749,86.129997,57.330002,120.08226
2016-02-10,61.779999,24.952747,88.449997,58.759997999999996,120.936539
2016-02-11,60.57,24.648135999999997,86.349998,59.240002000000004,116.855949
2016-02-12,60.889998999999996,24.842748999999998,87.400002,59.68,118.31008100000001
2016-02-16,66.290001,25.223513,89.050003,59.720001,119.51880600000001
2016-02-17,66.379997,25.071207,94.760002,63.490002000000004,122.71781200000001
2016-02-18,66.519997,25.003513,90.489998,61.700001,122.73603100000001
2016-02-19,67.279999,24.952747,89.230003,62.139998999999996,122.926842
2016-02-22,68.839996,25.426586,91.93,63.98,124.162834
2016-02-23,66.970001,25.350435,89.120003,62.900002,123.51759299999999
2016-02-24,67.230003,25.401203,91.610001,62.52,122.826897
2016-02-25,66.660004,25.883505,94.529999,69.41999799999999,124.726303
2016-02-26,66.910004,25.578892,94.790001,69.720001,124.60816200000001
2016-02-29,68.809998,25.105055,93.410004,67.75,123.844749
2016-03-01,70.860001,25.418125,98.300003,70.019997,125.63510900000001
2016-03-02,71.25,25.367357000000002,97.610001,70.43,123.24493400000001
2016-03-03,71.019997,25.291203,97.93,70.800003,123.363091
2016-03-04,72.220001,25.138901,101.58000200000001,71.059998,122.945045
2016-03-07,72.889999,25.206592999999998,95.489998,70.489998,120.26403
2016-03-08,71.07,24.842748999999998,96.230003,69.82,119.418823
2016-03-09,72.43,25.164282,98.0,71.040001,119.88231699999999
2016-03-10,71.970001,25.037359,97.360001,70.699997,121.390984
2016-03-11,74.010002,25.807356,97.660004,71.629997,123.16317
2016-03-14,73.349998,25.468895,98.129997,72.220001,121.972595
2016-03-15,72.230003,24.995055999999998,97.860001,71.699997,121.136467
2016-03-16,73.5,24.571981,99.349998,72.730003,121.772667
2016-03-17,74.25,24.825827,99.720001,72.720001,121.89079299999999
2016-03-18,76.25,24.918907,101.120003,72.650002,123.09953300000001
2016-03-21,78.110001,25.443512,101.059998,72.25,122.49060800000001
2016-03-22,78.18,25.705811999999998,99.839996,72.849998,122.90868400000001
2016-03-23,76.559998,25.545046,99.589996,71.779999,122.07257800000001
2016-03-24,75.860001,25.451969000000002,98.360001,72.440002,117.31036399999999
2016-03-28,76.480003,25.198128,101.209999,71.949997,118.89170800000001
2016-03-29,78.08000200000001,25.426586,104.129997,72.300003,119.836899
2016-03-30,78.860001,25.443512,102.190002,74.300003,119.718727
2016-03-31,79.029999,25.079667999999998,102.230003,73.83000200000001,119.39155600000001
2016-04-01,78.730003,25.418125,105.699997,75.730003,120.273117
2016-04-04,79.08000200000001,25.993507,104.349998,75.690002,119.68238799999999
2016-04-05,77.32,26.535032,104.940002,74.58000200000001,118.909874
2016-04-06,78.68,27.86348,104.83000200000001,75.58000200000001,120.40905
2016-04-07,77.610001,27.719631,104.449997,75.32,120.107376
2016-04-08,77.470001,27.499636,103.809998,74.849998,121.496872
2016-04-11,77.709999,26.983484000000004,102.68,74.160004,120.573578
2016-04-12,77.860001,27.042717,106.980003,74.269997,122.08190900000001
2016-04-13,79.639999,27.533479999999997,109.650002,75.949997,122.78580500000001
2016-04-14,79.610001,27.626556,110.41999799999999,76.150002,122.10022
2016-04-15,78.970001,27.499636,111.510002,76.309998,123.23371100000001
2016-04-18,79.010002,27.592717999999998,108.400002,77.269997,124.586601
2016-04-19,79.459999,27.829632,94.339996,76.190002,124.952278
2016-04-20,81.209999,28.117319000000002,96.769997,76.139999,124.970551
2016-04-21,80.779999,28.125782,94.980003,77.150002,125.893799
2016-04-22,79.889999,28.151171,95.900002,76.480003,126.058365
2016-04-25,78.839996,28.100399,93.559998,76.510002,125.043678
2016-04-26,78.610001,27.965015,92.43,76.209999,126.798813
2016-04-27,77.650002,27.922707,91.040001,75.690002,131.27803
2016-04-28,76.400002,27.846552000000003,90.279999,75.379997,129.038406
2016-04-29,76.940002,27.677324,90.029999,75.800003,128.453354
2016-05-02,76.610001,27.753481,93.110001,77.25,129.650894
2016-05-03,75.910004,28.515005,91.540001,74.900002,130.117065
2016-05-04,75.82,28.261167999999998,90.790001,73.989998,129.285248
2016-05-05,78.83000200000001,28.405008000000002,89.370003,73.809998,129.98911999999999
2016-05-06,79.199997,28.413475,90.839996,74.25,131.122635
2016-05-09,79.410004,28.616543,90.540001,74.620003,130.69300800000002
2016-05-10,79.720001,28.599619,92.889999,75.91999799999999,133.197708
2016-05-11,79.800003,28.309359000000004,90.019997,75.790001,132.512115
2016-05-12,79.160004,28.334969,87.739998,75.889999,132.832031
2016-05-13,77.160004,28.334969,87.879997,76.370003,131.972763
2016-05-16,79.290001,28.497175,89.120003,77.309998,132.886902
2016-05-17,79.349998,28.198373999999998,88.629997,76.769997,132.548676
2016-05-18,79.029999,28.317891999999997,90.5,77.870003,131.917923
2016-05-19,78.32,28.497175,89.550003,81.089996,131.259735
2016-05-20,78.790001,28.804515999999996,92.489998,81.019997,132.201294
2016-05-23,79.0,28.744753000000003,94.889999,81.730003,130.034821
2016-05-24,81.120003,29.111859999999997,97.889999,82.75,130.68383799999998
2016-05-25,75.589996,29.325284999999997,100.199997,83.57,130.69300800000002
2016-05-26,78.349998,29.393576,102.809998,83.349998,130.565002
2016-05-27,80.970001,29.547255,103.300003,83.769997,130.839233
2016-05-31,82.0,29.624084000000003,102.57,83.709999,129.687454
2016-06-01,76.690002,29.666771,101.510002,83.449997,129.32183799999999
2016-06-02,77.300003,29.769216999999998,101.25,83.239998,128.096893
2016-06-03,76.620003,29.615546999999996,99.589996,82.550003,128.18826299999998
2016-06-06,78.059998,29.820435999999997,100.739998,82.83000200000001,128.288849
2016-06-07,77.839996,29.743608000000002,99.889999,83.139999,128.947021
2016-06-08,77.639999,30.093621999999996,97.860001,83.349998,129.340073
2016-06-09,77.559998,30.144854,97.089996,82.730003,129.787979
2016-06-10,75.91999799999999,30.127781,93.75,81.83000200000001,129.376633
2016-06-13,75.449997,29.658237,93.849998,81.489998,127.16445900000001
2016-06-14,77.769997,29.871665999999998,94.120003,81.089996,127.456985
2016-06-15,78.389999,29.70092,94.290001,81.989998,128.078568
2016-06-16,78.269997,29.666771,95.440002,81.639999,127.75863600000001
2016-06-17,77.0,29.214304,94.449997,80.5,127.054771
2016-06-20,78.150002,29.453342,93.800003,81.220001,128.819016
2016-06-21,78.620003,29.666771,90.989998,81.629997,127.43869
2016-06-22,78.730003,29.427729,90.010002,80.620003,126.87193300000001
2016-06-23,79.139999,29.530176,91.660004,82.279999,127.776924
2016-06-24,76.290001,29.000875,88.440002,78.459999,124.44948600000001
2016-06-27,74.230003,28.855738,85.33000200000001,76.07,121.63398000000001
2016-06-28,76.279999,29.402116999999997,87.970001,77.550003,122.438423
2016-06-29,78.040001,29.888737,91.059998,79.0,124.690826
2016-06-30,79.529999,30.059484,91.480003,79.410004,128.009659
2016-07-01,79.650002,30.366827,96.66999799999999,79.83000200000001,129.940277
2016-07-05,78.970001,30.571720000000003,97.910004,78.66999799999999,127.24659
2016-07-06,78.639999,30.614404999999998,94.599998,78.5,128.607208
2016-07-07,79.349998,30.537567,95.099998,78.760002,127.503998
2016-07-08,78.989998,30.836365,97.059998,80.889999,129.149628
2016-07-11,81.459999,30.861984000000003,94.66999799999999,81.660004,129.80238300000002
2016-07-12,81.739998,30.938812,95.970001,81.93,130.124146
2016-07-13,80.57,30.998577,96.43,81.33000200000001,130.29882800000001
2016-07-14,81.739998,31.519344,98.019997,81.559998,131.061874
2016-07-15,81.25,31.391287,98.389999,81.400002,130.62979099999998
2016-07-18,82.650002,31.280296000000003,98.809998,81.629997,129.627686
2016-07-19,82.769997,31.280296000000003,85.839996,81.370003,131.751373
2016-07-20,84.41999799999999,31.314453000000004,87.910004,82.139999,132.882172
2016-07-21,84.18,31.340061,85.989998,81.699997,131.337677
2016-07-22,84.489998,31.365675,85.889999,82.550003,132.17428600000002
2016-07-25,83.190002,31.399818,87.660004,82.190002,132.128311
2016-07-26,83.589996,31.442514000000003,91.410004,81.760002,132.854599
2016-07-27,83.099998,31.459583000000002,92.040001,81.5,134.803589
2016-07-28,83.120003,31.305915999999996,91.650002,82.33000200000001,135.235687
2016-07-29,82.480003,31.493732,91.25,81.800003,135.042633
2016-08-01,84.339996,31.852303000000003,94.370003,81.019997,137.065186
2016-08-02,83.800003,31.06687,93.559998,80.5,136.26535
2016-08-03,83.66999799999999,30.378220000000002,93.099998,80.410004,135.888443
2016-08-04,84.75,30.257708,93.440002,80.559998,135.483932
2016-08-05,84.589996,30.507339,97.029999,81.33000200000001,136.88128700000001
2016-08-08,85.0,30.068323,95.110001,81.16999799999999,136.164246
2016-08-09,85.239998,30.197449,93.989998,81.18,136.587128
2016-08-10,87.33000200000001,30.240492,93.93,80.239998,139.25325
2016-08-11,91.769997,30.257708,95.889999,81.480003,139.096939
2016-08-12,98.25,30.111361,96.589996,81.629997,139.25325
2016-08-15,97.16999799999999,30.223271999999998,95.309998,78.91999799999999,141.02758799999998
2016-08-16,96.660004,29.947813,95.120003,77.959999,140.108215
2016-08-17,97.0,30.249094,96.370003,76.32,140.632263
2016-08-18,97.0,30.292135,96.160004,76.910004,140.135818
2016-08-19,96.860001,30.111361,95.870003,77.480003,140.08985900000002
2016-08-22,95.650002,29.990852,95.260002,77.25,139.942749
2016-08-23,95.790001,30.206059000000003,95.940002,78.019997,139.878387
2016-08-24,93.879997,29.973633000000003,95.18,77.82,140.00708
2016-08-25,93.940002,29.930597,97.32,80.160004,140.365631
2016-08-26,95.059998,29.973633000000003,97.58000200000001,80.029999,139.354355
2016-08-29,94.879997,30.223271999999998,97.300003,79.91999799999999,140.49435400000002
2016-08-30,96.0,30.025288,97.449997,79.83000200000001,140.255325
2016-08-31,97.190002,29.956413,97.449997,79.41999799999999,139.942749
2016-09-01,97.41999799999999,29.853116999999997,97.379997,75.910004,140.512756
2016-09-02,99.25,29.930597,97.379997,75.099998,141.40448
2016-09-06,103.779999,29.930597,100.089996,75.41999799999999,142.158386
2016-09-07,102.32,29.990852,99.150002,75.010002,140.760956
2016-09-08,102.57,29.887559999999997,99.660004,74.879997,140.108215
2016-09-09,99.620003,29.353851000000002,96.5,74.199997,137.819061
2016-09-12,100.800003,29.827296999999998,99.050003,74.360001,139.565857
2016-09-13,100.279999,29.302202,96.089996,73.059998,138.45341499999998
2016-09-14,102.400002,29.216114,97.010002,73.82,137.745529
2016-09-15,104.449997,29.388275,97.339996,73.989998,139.887589
2016-09-16,104.639999,29.216114,99.480003,73.290001,138.591309
2016-09-19,103.029999,28.966482,98.059998,73.0,139.896774
2016-09-20,101.360001,29.104214000000002,98.25,72.910004,139.611771
2016-09-21,106.0,29.508789,94.879997,74.18,140.751801
2016-09-22,109.360001,29.396889,95.83000200000001,74.589996,142.369797
2016-09-23,107.709999,29.491577000000003,95.940002,70.389999,141.40448
2016-09-26,105.889999,28.957872,94.559998,70.190002,141.459671
2016-09-27,108.260002,29.121433000000003,97.07,70.050003,142.75593600000002
2016-09-28,108.75,29.259161,97.480003,71.620003,143.42704799999998
2016-09-29,105.550003,28.682409000000003,96.66999799999999,71.199997,143.059341
2016-09-30,105.790001,29.155857,98.550003,71.33000200000001,142.645584
2016-10-03,105.379997,28.992306,102.629997,70.519997,142.231918
2016-10-04,105.449997,29.026739000000003,102.339996,72.629997,141.165497
2016-10-05,106.959999,29.181684000000004,106.279999,68.41999799999999,142.024719
2016-10-06,107.08000200000001,28.966482,105.07,71.260002,142.412766
2016-10-07,106.0,28.889008,104.82,70.910004,141.322556
2016-10-10,108.410004,28.932043,103.33000200000001,75.099998,141.257874
2016-10-11,105.230003,28.518864,100.589996,72.41999799999999,138.21817
2016-10-12,103.620003,28.467205,99.5,72.230003,138.587753
2016-10-13,102.150002,28.20035,100.230003,70.629997,139.52088899999998
2016-10-14,101.849998,28.114271000000002,101.470001,74.269997,139.82578999999998
2016-10-17,102.839996,27.976542,99.800003,72.83000200000001,139.03125
2016-10-18,103.339996,28.140090999999998,118.790001,72.769997,140.324677
2016-10-19,103.93,28.062621999999998,121.870003,72.82,139.899704
2016-10-20,103.849998,28.010973,123.349998,72.589996,139.243744
2016-10-21,103.940002,27.701082,127.5,74.0,138.754059
2016-10-24,104.5,27.658039000000002,127.33000200000001,75.059998,139.91816699999998
