Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
10/19/2015 16:00:00,44.7,115.16,60.97,121.72,153.22,81.62,327.88,70.26,97.94,120.73,148,104.26,103.1,101.18,96.79,103.77
10/20/2015 16:00:00,45.24,117.49,60.88,122.08,154.56,81.6,327.15,70.55,97.59,120.42,149.11,104.56,103.47,101.38,96.91,103.94
10/21/2015 16:00:00,44.86,116.07,60.53,122.06,155.21,80.5,321.98,69.64,97.63,118.11,149.82,105.26,102.52,100.64,96.06,104.2
10/22/2015 16:00:00,45.89,116.15,61.49,123.6,158.15,82.61,335.35,74.25,99.53,113.81,156,106.43,106.46,103.62,99.47,105.71
10/23/2015 16:00:00,46.16,113.68,62.61,123.25,155.74,83.35,340.79,74.39,100.31,115.92,155.79,106.8,107.99,103.99,99.17,104.56
10/26/2015 16:00:00,46.36,112.37,63.43,122.04,156.73,83,337.02,74.19,99.94,116.53,156.54,106.18,107.97,103.93,99.53,103.85
10/27/2015 16:00:00,46.17,113.86,62.71,121.89,157.76,83.56,335.57,73.95,100.19,119.37,156.73,103.1,107.87,102.93,99.27,104.1
10/28/2015 16:00:00,46.48,114.63,63.51,122.63,157.76,84.89,346.32,75.24,100.48,119.78,158.08,102.63,109.73,104.33,100.87,102.95
10/29/2015 16:00:00,46.4,113.61,62.5,122.72,158.28,86.43,349.86,75.38,101.37,119.71,157.61,103.47,107.95,104.28,101.96,101.78
10/30/2015 16:00:00,46.88,113.13,62.57,121.94,158.12,89.05,351.97,75.62,101.03,117.78,157.21,103.02,107.2,104.26,102.23,102.66
11/2/2015 16:00:00,46.78,114.54,62.24,125.7,159.15,90.6,354.57,76.19,102.17,118.69,159.92,104.57,107.6,104,104.06,102.23
11/3/2015 16:00:00,46.45,114.95,62.8,124.63,158.8,92.67,358.47,76.68,101.96,117.66,158.75,104.48,107.31,104.19,103.28,102.31
11/4/2015 16:00:00,46.14,114.3,61.96,124.2,157.15,93.33,356.49,76.19,101.94,114.64,158.91,104,106.52,103.86,102.23,103.22
11/5/2015 16:00:00,46.2,115.59,62.28,124.22,156.27,93.68,357.3,76.67,102.33,116.23,158.99,104.23,106.09,103.21,100.87,102.1
11/6/2015 16:00:00,45.78,114.57,61.97,122.28,157.55,92.75,356.7,76.93,101.92,114.81,159.26,104.99,106,103,98.03,98.84
11/9/2015 16:00:00,45.3,115.24,61.34,121.88,155.16,92.01,349.57,75.53,100.84,114.26,157.47,104.01,104.88,101.73,97.11,98.91
11/10/2015 16:00:00,45.1,114.44,62.18,122.28,156.41,92.1,350.27,76.16,101.45,115.89,157.59,104.34,105.07,101.12,97.13,99
11/11/2015 16:00:00,45.32,114.05,61.87,123.42,156.39,90.59,350.5,76.38,101.86,114.54,159.05,104.8,105.1,101.61,97.62,99.72
